"40712"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"10/01/1990", "12/01/1991", "14", "-1.49", "-10.82", "-0.77", "-0.79"
"11/01/1996", "03/01/1997", "4", "-1", "-2.17", "-0.54", "-0.45"
"01/01/1998", "11/01/2000", "34", "-2.17", "-35.43", "-1.04", "-1.08"
"05/01/2001", "03/01/2002", "10", "-1.41", "-9.17", "-0.92", "-1.14"
"11/01/2002", "04/01/2003", "5", "-1.1", "-4", "-0.8", "-1.03"
"03/01/2005", "04/01/2006", "13", "-1.56", "-13.07", "-1.01", "-1.12"
"01/01/2008", "10/01/2008", "9", "-2.2", "-12.25", "-1.36", "-1.33"
"04/01/2009", "10/01/2009", "6", "-1.34", "-4.33", "-0.72", "-0.59"
"12/01/2010", "04/01/2011", "4", "-1.7", "-4.43", "-1.11", "-0.98"
"03/01/2012", "11/01/2012", "8", "-1.69", "-8.28", "-1.03", "-1.2"
"04/01/2015", "10/01/2015", "6", "-1.99", "-8.46", "-1.41", "-1.39"
"06/01/2017", "02/01/2018", "8", "-2.22", "-9.27", "-1.16", "-1.11"
"05/01/2021", "12/01/2021", "7", "-1.47", "-5", "-0.71", "-0.62"
"12/01/2022", "08/01/2023", "8", "-1.56", "-5.63", "-0.7", "-0.7"
"11/01/2023", "04/01/2024", "5", "-1.92", "-3.92", "-0.78", "-0.36"
