"40708"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.49", "1.85"
"-3.6", "1", "0.24", "3.7"
"-3.3", "1", "0.24", "5.56"
"-2.6", "1", "0.24", "7.41"
"-2.5", "2", "0.49", "9.26"
"-2.3", "2", "0.49", "11.11"
"-2.2", "2", "0.49", "12.96"
"-2", "1", "0.24", "14.81"
"-1.9", "4", "0.97", "16.67"
"-1.8", "2", "0.49", "18.52"
"-1.7", "3", "0.73", "20.37"
"-1.6", "3", "0.73", "22.22"
"-1.5", "8", "1.94", "24.07"
"-1.4", "7", "1.7", "25.93"
"-1.3", "7", "1.7", "27.78"
"-1.2", "4", "0.97", "29.63"
"-1.1", "9", "2.18", "31.48"
"-1", "7", "1.7", "33.33"
"-0.9", "9", "2.18", "35.19"
"-0.8", "13", "3.16", "37.04"
"-0.7", "13", "3.16", "38.89"
"-0.6", "8", "1.94", "40.74"
"-0.5", "20", "4.85", "42.59"
"-0.4", "17", "4.13", "44.44"
"-0.3", "22", "5.34", "46.3"
"-0.2", "17", "4.13", "48.15"
"-0.1", "22", "5.34", "50"
"0", "18", "4.37", "51.85"
"0.1", "13", "3.16", "53.7"
"0.2", "14", "3.4", "55.56"
"0.3", "16", "3.88", "57.41"
"0.4", "16", "3.88", "59.26"
"0.5", "7", "1.7", "61.11"
"0.6", "19", "4.61", "62.96"
"0.7", "6", "1.46", "64.81"
"0.8", "12", "2.91", "66.67"
"0.9", "14", "3.4", "68.52"
"1", "10", "2.43", "70.37"
"1.1", "7", "1.7", "72.22"
"1.2", "4", "0.97", "74.07"
"1.3", "10", "2.43", "75.93"
"1.4", "6", "1.46", "77.78"
"1.5", "6", "1.46", "79.63"
"1.6", "5", "1.21", "81.48"
"1.7", "5", "1.21", "83.33"
"1.8", "3", "0.73", "85.19"
"1.9", "4", "0.97", "87.04"
"2", "1", "0.24", "88.89"
"2.1", "3", "0.73", "90.74"
"2.2", "1", "0.24", "92.59"
"2.3", "1", "0.24", "94.44"
"2.4", "2", "0.49", "96.3"
"2.5", "1", "0.24", "98.15"
"2.6", "1", "0.24", "100"
