"40726"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "2.44"
"-1.9", "1", "0.24", "4.88"
"-1.8", "4", "0.97", "7.32"
"-1.6", "2", "0.49", "9.76"
"-1.5", "5", "1.21", "12.2"
"-1.4", "12", "2.91", "14.63"
"-1.3", "2", "0.49", "17.07"
"-1.2", "6", "1.46", "19.51"
"-1.1", "3", "0.73", "21.95"
"-1", "12", "2.91", "24.39"
"-0.9", "16", "3.88", "26.83"
"-0.8", "13", "3.16", "29.27"
"-0.7", "15", "3.64", "31.71"
"-0.6", "12", "2.91", "34.15"
"-0.5", "21", "5.1", "36.59"
"-0.4", "24", "5.83", "39.02"
"-0.3", "21", "5.1", "41.46"
"-0.2", "26", "6.31", "43.9"
"-0.1", "24", "5.83", "46.34"
"0", "15", "3.64", "48.78"
"0.1", "23", "5.58", "51.22"
"0.2", "22", "5.34", "53.66"
"0.3", "5", "1.21", "56.1"
"0.4", "9", "2.18", "58.54"
"0.5", "17", "4.13", "60.98"
"0.6", "17", "4.13", "63.41"
"0.7", "24", "5.83", "65.85"
"0.8", "13", "3.16", "68.29"
"0.9", "5", "1.21", "70.73"
"1", "6", "1.46", "73.17"
"1.1", "6", "1.46", "75.61"
"1.2", "1", "0.24", "78.05"
"1.3", "1", "0.24", "80.49"
"1.4", "2", "0.49", "82.93"
"1.5", "2", "0.49", "85.37"
"1.6", "1", "0.24", "87.8"
"1.8", "1", "0.24", "90.24"
"4", "1", "0.24", "92.68"
"4.1", "8", "1.94", "95.12"
"4.2", "2", "0.49", "97.56"
"4.3", "1", "0.24", "100"
