"40716"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "2.17"
"-2.4", "2", "0.49", "4.35"
"-2.2", "3", "0.73", "6.52"
"-2.1", "1", "0.24", "8.7"
"-2", "4", "0.97", "10.87"
"-1.9", "4", "0.97", "13.04"
"-1.8", "5", "1.21", "15.22"
"-1.7", "4", "0.97", "17.39"
"-1.6", "5", "1.21", "19.57"
"-1.5", "7", "1.7", "21.74"
"-1.4", "8", "1.94", "23.91"
"-1.3", "4", "0.97", "26.09"
"-1.2", "13", "3.16", "28.26"
"-1.1", "13", "3.16", "30.43"
"-1", "10", "2.43", "32.61"
"-0.9", "8", "1.94", "34.78"
"-0.8", "8", "1.94", "36.96"
"-0.7", "12", "2.91", "39.13"
"-0.6", "21", "5.1", "41.3"
"-0.5", "8", "1.94", "43.48"
"-0.4", "6", "1.46", "45.65"
"-0.3", "7", "1.7", "47.83"
"-0.2", "12", "2.91", "50"
"-0.1", "14", "3.4", "52.17"
"0", "16", "3.88", "54.35"
"0.1", "14", "3.4", "56.52"
"0.2", "12", "2.91", "58.7"
"0.3", "18", "4.37", "60.87"
"0.4", "15", "3.64", "63.04"
"0.5", "13", "3.16", "65.22"
"0.6", "19", "4.61", "67.39"
"0.7", "21", "5.1", "69.57"
"0.8", "9", "2.18", "71.74"
"0.9", "22", "5.34", "73.91"
"1", "7", "1.7", "76.09"
"1.1", "8", "1.94", "78.26"
"1.2", "6", "1.46", "80.43"
"1.3", "9", "2.18", "82.61"
"1.4", "8", "1.94", "84.78"
"1.5", "6", "1.46", "86.96"
"1.6", "4", "0.97", "89.13"
"1.7", "2", "0.49", "91.3"
"1.8", "3", "0.73", "93.48"
"2", "4", "0.97", "95.65"
"2.1", "3", "0.73", "97.83"
"2.3", "3", "0.73", "100"
