"40708"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"05/01/1990", "10/01/1990", "5", "-2.21", "-4.86", "-0.97", "-0.89"
"11/01/1990", "12/01/1990", "1", "-1.39", "-1.39", "-1.39", "-1.39"
"04/01/1991", "05/01/1991", "1", "-1.26", "-1.26", "-1.26", "-1.26"
"09/01/1991", "12/01/1991", "3", "-1.89", "-2.97", "-0.99", "-0.65"
"10/01/1992", "11/01/1992", "1", "-1.28", "-1.28", "-1.28", "-1.28"
"05/01/1995", "06/01/1995", "1", "-1.61", "-1.61", "-1.61", "-1.61"
"11/01/1995", "01/01/1996", "2", "-1.79", "-2.49", "-1.25", "-1.25"
"04/01/1997", "05/01/1997", "1", "-2.22", "-2.22", "-2.22", "-2.22"
"08/01/1997", "09/01/1997", "1", "-1.39", "-1.39", "-1.39", "-1.39"
"02/01/1999", "03/01/1999", "1", "-1.92", "-1.92", "-1.92", "-1.92"
"12/01/1999", "01/01/2000", "1", "-1.53", "-1.53", "-1.53", "-1.53"
"05/01/2000", "07/01/2000", "2", "-1.3", "-1.57", "-0.78", "-0.78"
"02/01/2001", "04/01/2001", "2", "-2.31", "-3.56", "-1.78", "-1.78"
"05/01/2001", "07/01/2001", "2", "-2.04", "-3.09", "-1.55", "-1.55"
"01/01/2002", "04/01/2002", "3", "-1.8", "-3.62", "-1.21", "-1.25"
"06/01/2002", "07/01/2002", "1", "-1.4", "-1.4", "-1.4", "-1.4"
"10/01/2002", "11/01/2002", "1", "-1.41", "-1.41", "-1.41", "-1.41"
"10/01/2003", "12/01/2003", "2", "-1.71", "-1.81", "-0.91", "-0.91"
"02/01/2004", "04/01/2004", "2", "-1.32", "-1.79", "-0.89", "-0.89"
"08/01/2004", "10/01/2004", "2", "-1.66", "-3.22", "-1.61", "-1.61"
"12/01/2005", "01/01/2006", "1", "-1.05", "-1.05", "-1.05", "-1.05"
"05/01/2006", "10/01/2006", "5", "-2.5", "-8.03", "-1.61", "-1.89"
"05/01/2007", "06/01/2007", "1", "-1.12", "-1.12", "-1.12", "-1.12"
"09/01/2007", "12/01/2007", "3", "-1.66", "-3.62", "-1.21", "-1.4"
"01/01/2008", "02/01/2008", "1", "-1.48", "-1.48", "-1.48", "-1.48"
"04/01/2008", "09/01/2008", "5", "-1.13", "-2.55", "-0.51", "-0.21"
"11/01/2008", "04/01/2009", "5", "-2.23", "-5.93", "-1.19", "-1.38"
"07/01/2009", "09/01/2009", "2", "-1.19", "-1.23", "-0.62", "-0.62"
"10/01/2009", "11/01/2009", "1", "-1.29", "-1.29", "-1.29", "-1.29"
"07/01/2010", "08/01/2010", "1", "-1.91", "-1.91", "-1.91", "-1.91"
"10/01/2010", "02/01/2011", "4", "-3", "-6.26", "-1.57", "-1.5"
"02/01/2012", "03/01/2012", "1", "-1.85", "-1.85", "-1.85", "-1.85"
"10/01/2012", "11/01/2012", "1", "-2.42", "-2.42", "-2.42", "-2.42"
"03/01/2013", "05/01/2013", "2", "-1.18", "-1.37", "-0.68", "-0.68"
"07/01/2013", "08/01/2013", "1", "-1.91", "-1.91", "-1.91", "-1.91"
"09/01/2013", "11/01/2013", "2", "-1.41", "-1.65", "-0.83", "-0.83"
"01/01/2014", "02/01/2014", "1", "-1.78", "-1.78", "-1.78", "-1.78"
"04/01/2015", "08/01/2015", "4", "-1.23", "-2.75", "-0.69", "-0.68"
"08/01/2016", "09/01/2016", "1", "-1.56", "-1.56", "-1.56", "-1.56"
"01/01/2017", "02/01/2017", "1", "-1.54", "-1.54", "-1.54", "-1.54"
"09/01/2017", "10/01/2017", "1", "-1.18", "-1.18", "-1.18", "-1.18"
"07/01/2019", "08/01/2019", "1", "-1.42", "-1.42", "-1.42", "-1.42"
"12/01/2019", "01/01/2020", "1", "-1.51", "-1.51", "-1.51", "-1.51"
"03/01/2020", "04/01/2020", "1", "-1.14", "-1.14", "-1.14", "-1.14"
"04/01/2021", "07/01/2021", "3", "-2.02", "-4.23", "-1.41", "-1.19"
"09/01/2021", "12/01/2021", "3", "-1.02", "-1.66", "-0.55", "-0.43"
"08/01/2022", "10/01/2022", "2", "-1.56", "-2.31", "-1.16", "-1.16"
"12/01/2022", "01/01/2023", "1", "-1.85", "-1.85", "-1.85", "-1.85"
"02/01/2023", "03/01/2023", "1", "-1.44", "-1.44", "-1.44", "-1.44"
"04/01/2023", "05/01/2023", "1", "-1.77", "-1.77", "-1.77", "-1.77"
"11/01/2023", "12/01/2023", "1", "-1.46", "-1.46", "-1.46", "-1.46"
