"40706"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.17"
"-2.3", "1", "0.24", "4.35"
"-2.1", "3", "0.73", "6.52"
"-2", "1", "0.24", "8.7"
"-1.8", "2", "0.49", "10.87"
"-1.7", "3", "0.73", "13.04"
"-1.6", "4", "0.97", "15.22"
"-1.5", "5", "1.21", "17.39"
"-1.4", "5", "1.21", "19.57"
"-1.3", "17", "4.13", "21.74"
"-1.2", "12", "2.91", "23.91"
"-1.1", "11", "2.67", "26.09"
"-1", "21", "5.1", "28.26"
"-0.9", "16", "3.88", "30.43"
"-0.8", "12", "2.91", "32.61"
"-0.7", "6", "1.46", "34.78"
"-0.6", "8", "1.94", "36.96"
"-0.5", "10", "2.43", "39.13"
"-0.4", "11", "2.67", "41.3"
"-0.3", "18", "4.37", "43.48"
"-0.2", "6", "1.46", "45.65"
"-0.1", "13", "3.16", "47.83"
"0", "17", "4.13", "50"
"0.1", "7", "1.7", "52.17"
"0.2", "25", "6.07", "54.35"
"0.3", "19", "4.61", "56.52"
"0.4", "12", "2.91", "58.7"
"0.5", "12", "2.91", "60.87"
"0.6", "13", "3.16", "63.04"
"0.7", "12", "2.91", "65.22"
"0.8", "11", "2.67", "67.39"
"0.9", "8", "1.94", "69.57"
"1", "8", "1.94", "71.74"
"1.1", "8", "1.94", "73.91"
"1.2", "7", "1.7", "76.09"
"1.3", "3", "0.73", "78.26"
"1.4", "7", "1.7", "80.43"
"1.5", "3", "0.73", "82.61"
"1.6", "3", "0.73", "84.78"
"1.7", "7", "1.7", "86.96"
"1.8", "1", "0.24", "89.13"
"1.9", "8", "1.94", "91.3"
"2", "5", "1.21", "93.48"
"2.1", "4", "0.97", "95.65"
"2.2", "1", "0.24", "97.83"
"2.4", "3", "0.73", "100"
