"88107"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "4.51", "2.38"
"-2.3", "2", "0.82", "4.76"
"-2.1", "2", "0.82", "7.14"
"-2", "3", "1.23", "9.52"
"-1.9", "1", "0.41", "11.9"
"-1.8", "5", "2.05", "14.29"
"-1.7", "4", "1.64", "16.67"
"-1.6", "9", "3.69", "19.05"
"-1.5", "3", "1.23", "21.43"
"-1.4", "4", "1.64", "23.81"
"-1.3", "2", "0.82", "26.19"
"-1.2", "6", "2.46", "28.57"
"-1.1", "3", "1.23", "30.95"
"-1", "2", "0.82", "33.33"
"-0.9", "6", "2.46", "35.71"
"-0.8", "6", "2.46", "38.1"
"-0.7", "3", "1.23", "40.48"
"-0.6", "6", "2.46", "42.86"
"-0.5", "3", "1.23", "45.24"
"-0.4", "6", "2.46", "47.62"
"-0.3", "5", "2.05", "50"
"-0.2", "6", "2.46", "52.38"
"-0.1", "9", "3.69", "54.76"
"0", "10", "4.1", "57.14"
"0.1", "11", "4.51", "59.52"
"0.2", "13", "5.33", "61.9"
"0.3", "9", "3.69", "64.29"
"0.4", "7", "2.87", "66.67"
"0.5", "10", "4.1", "69.05"
"0.6", "8", "3.28", "71.43"
"0.7", "8", "3.28", "73.81"
"0.8", "9", "3.69", "76.19"
"0.9", "10", "4.1", "78.57"
"1", "9", "3.69", "80.95"
"1.1", "6", "2.46", "83.33"
"1.2", "5", "2.05", "85.71"
"1.3", "5", "2.05", "88.1"
"1.4", "5", "2.05", "90.48"
"1.5", "3", "1.23", "92.86"
"1.6", "3", "1.23", "95.24"
"1.7", "3", "1.23", "97.62"
"1.8", "3", "1.23", "100"
