"40712"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "2.08"
"-2", "1", "0.24", "4.17"
"-1.9", "1", "0.24", "6.25"
"-1.8", "2", "0.49", "8.33"
"-1.7", "3", "0.73", "10.42"
"-1.6", "11", "2.67", "12.5"
"-1.5", "6", "1.46", "14.58"
"-1.4", "6", "1.46", "16.67"
"-1.3", "4", "0.97", "18.75"
"-1.2", "8", "1.94", "20.83"
"-1.1", "20", "4.85", "22.92"
"-1", "11", "2.67", "25"
"-0.9", "15", "3.64", "27.08"
"-0.8", "16", "3.88", "29.17"
"-0.7", "10", "2.43", "31.25"
"-0.6", "14", "3.4", "33.33"
"-0.5", "15", "3.64", "35.42"
"-0.4", "13", "3.16", "37.5"
"-0.3", "20", "4.85", "39.58"
"-0.2", "16", "3.88", "41.67"
"-0.1", "11", "2.67", "43.75"
"0", "19", "4.61", "45.83"
"0.1", "21", "5.1", "47.92"
"0.2", "18", "4.37", "50"
"0.3", "9", "2.18", "52.08"
"0.4", "15", "3.64", "54.17"
"0.5", "17", "4.13", "56.25"
"0.6", "6", "1.46", "58.33"
"0.7", "13", "3.16", "60.42"
"0.8", "9", "2.18", "62.5"
"0.9", "5", "1.21", "64.58"
"1", "3", "0.73", "66.67"
"1.1", "8", "1.94", "68.75"
"1.2", "4", "0.97", "70.83"
"1.3", "5", "1.21", "72.92"
"1.4", "2", "0.49", "75"
"1.5", "4", "0.97", "77.08"
"1.6", "3", "0.73", "79.17"
"1.7", "4", "0.97", "81.25"
"1.8", "9", "2.18", "83.33"
"1.9", "5", "1.21", "85.42"
"2", "4", "0.97", "87.5"
"2.1", "3", "0.73", "89.58"
"2.2", "3", "0.73", "91.67"
"2.3", "1", "0.24", "93.75"
"2.4", "2", "0.49", "95.83"
"2.5", "4", "0.97", "97.92"
"2.6", "2", "0.49", "100"
