"40700"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.13"
"-2.8", "2", "0.49", "4.26"
"-2.5", "1", "0.24", "6.38"
"-2.3", "1", "0.24", "8.51"
"-2.1", "2", "0.49", "10.64"
"-1.9", "1", "0.24", "12.77"
"-1.8", "1", "0.24", "14.89"
"-1.7", "3", "0.73", "17.02"
"-1.6", "1", "0.24", "19.15"
"-1.5", "3", "0.73", "21.28"
"-1.4", "4", "0.97", "23.4"
"-1.3", "5", "1.21", "25.53"
"-1.2", "10", "2.43", "27.66"
"-1.1", "15", "3.64", "29.79"
"-1", "22", "5.34", "31.91"
"-0.9", "7", "1.7", "34.04"
"-0.8", "18", "4.37", "36.17"
"-0.7", "21", "5.1", "38.3"
"-0.6", "22", "5.34", "40.43"
"-0.5", "12", "2.91", "42.55"
"-0.4", "15", "3.64", "44.68"
"-0.3", "14", "3.4", "46.81"
"-0.2", "14", "3.4", "48.94"
"-0.1", "17", "4.13", "51.06"
"0", "13", "3.16", "53.19"
"0.1", "7", "1.7", "55.32"
"0.2", "12", "2.91", "57.45"
"0.3", "14", "3.4", "59.57"
"0.4", "12", "2.91", "61.7"
"0.5", "10", "2.43", "63.83"
"0.6", "7", "1.7", "65.96"
"0.7", "5", "1.21", "68.09"
"0.8", "6", "1.46", "70.21"
"0.9", "10", "2.43", "72.34"
"1", "6", "1.46", "74.47"
"1.1", "9", "2.18", "76.6"
"1.2", "9", "2.18", "78.72"
"1.3", "7", "1.7", "80.85"
"1.4", "6", "1.46", "82.98"
"1.5", "10", "2.43", "85.11"
"1.6", "10", "2.43", "87.23"
"1.7", "9", "2.18", "89.36"
"1.8", "6", "1.46", "91.49"
"1.9", "3", "0.73", "93.62"
"2", "1", "0.24", "95.74"
"2.1", "3", "0.73", "97.87"
"2.2", "3", "0.73", "100"
