"40717"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"08/01/1990", "11/01/1990", "3", "-2.29", "-5.52", "-1.84", "-1.89"
"09/01/1991", "12/01/1991", "3", "-1.57", "-2.63", "-0.88", "-0.66"
"10/01/1992", "01/01/1993", "3", "-1.4", "-2.07", "-0.69", "-0.35"
"08/01/1994", "11/01/1994", "3", "-1.25", "-2.29", "-0.76", "-1"
"12/01/1995", "04/01/1996", "4", "-2.94", "-6.13", "-1.53", "-1.47"
"03/01/1997", "07/01/1997", "4", "-2.29", "-4.61", "-1.15", "-1.03"
"10/01/1998", "08/01/1999", "10", "-2.31", "-11.93", "-1.19", "-1.11"
"06/01/2000", "09/01/2000", "3", "-1.01", "-2.19", "-0.73", "-0.99"
"01/01/2001", "10/01/2001", "9", "-2.7", "-13.01", "-1.45", "-1.38"
"10/01/2002", "11/01/2002", "1", "-2.11", "-2.11", "-2.11", "-2.11"
"03/01/2004", "05/01/2004", "2", "-1.14", "-1.41", "-0.71", "-0.71"
"07/01/2006", "10/01/2006", "3", "-2.8", "-5.92", "-1.97", "-1.63"
"02/01/2007", "04/01/2007", "2", "-1.84", "-2.74", "-1.37", "-1.37"
"11/01/2007", "08/01/2008", "9", "-2.28", "-11.94", "-1.33", "-1.26"
"01/01/2009", "06/01/2009", "5", "-2.24", "-5.99", "-1.2", "-0.78"
"11/01/2010", "04/01/2011", "5", "-2.35", "-7.81", "-1.56", "-1.74"
"04/01/2013", "12/01/2013", "8", "-1.51", "-8.17", "-1.02", "-1.06"
"06/01/2015", "09/01/2015", "3", "-1.66", "-3.07", "-1.02", "-1.37"
"06/01/2016", "08/01/2016", "2", "-1.13", "-2.24", "-1.12", "-1.12"
"07/01/2017", "08/01/2017", "1", "-2.26", "-2.26", "-2.26", "-2.26"
"04/01/2021", "08/01/2021", "4", "-2.07", "-6.29", "-1.57", "-1.71"
"11/01/2021", "12/01/2021", "1", "-1.88", "-1.88", "-1.88", "-1.88"
"08/01/2022", "03/01/2023", "7", "-1.2", "-5.69", "-0.81", "-0.93"
