"40706"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "1.96"
"-2.8", "2", "0.49", "3.92"
"-2.7", "1", "0.24", "5.88"
"-2.6", "2", "0.49", "7.84"
"-2.4", "1", "0.24", "9.8"
"-2.2", "1", "0.24", "11.76"
"-2.1", "2", "0.49", "13.73"
"-2", "1", "0.24", "15.69"
"-1.9", "3", "0.73", "17.65"
"-1.8", "2", "0.49", "19.61"
"-1.7", "2", "0.49", "21.57"
"-1.6", "3", "0.73", "23.53"
"-1.5", "4", "0.97", "25.49"
"-1.4", "8", "1.94", "27.45"
"-1.3", "6", "1.46", "29.41"
"-1.2", "16", "3.88", "31.37"
"-1.1", "7", "1.7", "33.33"
"-1", "9", "2.18", "35.29"
"-0.9", "10", "2.43", "37.25"
"-0.8", "14", "3.4", "39.22"
"-0.7", "11", "2.67", "41.18"
"-0.6", "13", "3.16", "43.14"
"-0.5", "19", "4.61", "45.1"
"-0.4", "18", "4.37", "47.06"
"-0.3", "11", "2.67", "49.02"
"-0.2", "22", "5.34", "50.98"
"-0.1", "17", "4.13", "52.94"
"0", "13", "3.16", "54.9"
"0.1", "8", "1.94", "56.86"
"0.2", "10", "2.43", "58.82"
"0.3", "15", "3.64", "60.78"
"0.4", "12", "2.91", "62.75"
"0.5", "13", "3.16", "64.71"
"0.6", "12", "2.91", "66.67"
"0.7", "11", "2.67", "68.63"
"0.8", "9", "2.18", "70.59"
"0.9", "14", "3.4", "72.55"
"1", "11", "2.67", "74.51"
"1.1", "8", "1.94", "76.47"
"1.2", "11", "2.67", "78.43"
"1.3", "4", "0.97", "80.39"
"1.4", "10", "2.43", "82.35"
"1.5", "13", "3.16", "84.31"
"1.6", "6", "1.46", "86.27"
"1.7", "5", "1.21", "88.24"
"1.8", "3", "0.73", "90.2"
"1.9", "3", "0.73", "92.16"
"2", "1", "0.24", "94.12"
"2.1", "2", "0.49", "96.08"
"2.2", "1", "0.24", "98.04"
"2.3", "1", "0.24", "100"
