"40726"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.56"
"-1.9", "5", "1.21", "5.13"
"-1.6", "4", "0.97", "7.69"
"-1.5", "1", "0.24", "10.26"
"-1.4", "5", "1.21", "12.82"
"-1.3", "11", "2.67", "15.38"
"-1.2", "7", "1.7", "17.95"
"-1.1", "5", "1.21", "20.51"
"-1", "7", "1.7", "23.08"
"-0.9", "9", "2.18", "25.64"
"-0.8", "14", "3.4", "28.21"
"-0.7", "42", "10.19", "30.77"
"-0.6", "19", "4.61", "33.33"
"-0.5", "21", "5.1", "35.9"
"-0.4", "19", "4.61", "38.46"
"-0.3", "12", "2.91", "41.03"
"-0.2", "11", "2.67", "43.59"
"-0.1", "19", "4.61", "46.15"
"0", "11", "2.67", "48.72"
"0.1", "14", "3.4", "51.28"
"0.2", "24", "5.83", "53.85"
"0.3", "18", "4.37", "56.41"
"0.4", "24", "5.83", "58.97"
"0.5", "8", "1.94", "61.54"
"0.6", "16", "3.88", "64.1"
"0.7", "4", "0.97", "66.67"
"0.8", "4", "0.97", "69.23"
"0.9", "8", "1.94", "71.79"
"1.1", "10", "2.43", "74.36"
"1.2", "3", "0.73", "76.92"
"1.3", "2", "0.49", "79.49"
"1.4", "6", "1.46", "82.05"
"1.5", "2", "0.49", "84.62"
"2.6", "1", "0.24", "87.18"
"2.7", "1", "0.24", "89.74"
"2.8", "15", "3.64", "92.31"
"2.9", "4", "0.97", "94.87"
"3", "2", "0.49", "97.44"
"3.1", "1", "0.24", "100"
