"40705"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "3.15", "2.17"
"-2.1", "2", "0.57", "4.35"
"-2", "1", "0.29", "6.52"
"-1.9", "8", "2.29", "8.7"
"-1.8", "3", "0.86", "10.87"
"-1.7", "4", "1.15", "13.04"
"-1.6", "8", "2.29", "15.22"
"-1.5", "4", "1.15", "17.39"
"-1.4", "4", "1.15", "19.57"
"-1.3", "10", "2.87", "21.74"
"-1.2", "7", "2.01", "23.91"
"-1.1", "6", "1.72", "26.09"
"-1", "6", "1.72", "28.26"
"-0.9", "9", "2.58", "30.43"
"-0.8", "8", "2.29", "32.61"
"-0.7", "9", "2.58", "34.78"
"-0.6", "13", "3.72", "36.96"
"-0.5", "12", "3.44", "39.13"
"-0.4", "13", "3.72", "41.3"
"-0.3", "10", "2.87", "43.48"
"-0.2", "12", "3.44", "45.65"
"-0.1", "6", "1.72", "47.83"
"0", "14", "4.01", "50"
"0.1", "15", "4.3", "52.17"
"0.2", "15", "4.3", "54.35"
"0.3", "14", "4.01", "56.52"
"0.4", "18", "5.16", "58.7"
"0.5", "11", "3.15", "60.87"
"0.6", "11", "3.15", "63.04"
"0.7", "6", "1.72", "65.22"
"0.8", "10", "2.87", "67.39"
"0.9", "7", "2.01", "69.57"
"1", "9", "2.58", "71.74"
"1.1", "8", "2.29", "73.91"
"1.2", "3", "0.86", "76.09"
"1.3", "5", "1.43", "78.26"
"1.4", "5", "1.43", "80.43"
"1.5", "7", "2.01", "82.61"
"1.6", "7", "2.01", "84.78"
"1.7", "3", "0.86", "86.96"
"1.8", "7", "2.01", "89.13"
"1.9", "3", "0.86", "91.3"
"2", "2", "0.57", "93.48"
"2.2", "1", "0.29", "95.65"
"2.4", "1", "0.29", "97.83"
"2.5", "1", "0.29", "100"
