"40708"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"05/01/1990", "10/01/1990", "5", "-2.21", "-4.86", "-0.97", "-0.89"
"09/01/1991", "12/01/1991", "3", "-1.89", "-2.97", "-0.99", "-0.65"
"05/01/1995", "06/01/1995", "1", "-1.61", "-1.61", "-1.61", "-1.61"
"11/01/1995", "01/01/1996", "2", "-1.79", "-2.49", "-1.25", "-1.25"
"04/01/1997", "05/01/1997", "1", "-2.22", "-2.22", "-2.22", "-2.22"
"02/01/1999", "03/01/1999", "1", "-1.92", "-1.92", "-1.92", "-1.92"
"12/01/1999", "01/01/2000", "1", "-1.53", "-1.53", "-1.53", "-1.53"
"02/01/2001", "04/01/2001", "2", "-2.31", "-3.56", "-1.78", "-1.78"
"06/01/2001", "07/01/2001", "1", "-2.04", "-2.04", "-2.04", "-2.04"
"02/01/2002", "04/01/2002", "2", "-1.8", "-2.37", "-1.19", "-1.19"
"10/01/2003", "12/01/2003", "2", "-1.71", "-1.81", "-0.91", "-0.91"
"08/01/2004", "10/01/2004", "2", "-1.66", "-3.22", "-1.61", "-1.61"
"06/01/2006", "10/01/2006", "4", "-2.5", "-6.69", "-1.67", "-1.99"
"09/01/2007", "12/01/2007", "3", "-1.66", "-3.62", "-1.21", "-1.4"
"01/01/2009", "04/01/2009", "3", "-2.23", "-4.46", "-1.49", "-1.53"
"07/01/2010", "08/01/2010", "1", "-1.91", "-1.91", "-1.91", "-1.91"
"11/01/2010", "02/01/2011", "3", "-3", "-5.2", "-1.73", "-1.95"
"02/01/2012", "03/01/2012", "1", "-1.85", "-1.85", "-1.85", "-1.85"
"10/01/2012", "11/01/2012", "1", "-2.42", "-2.42", "-2.42", "-2.42"
"07/01/2013", "08/01/2013", "1", "-1.91", "-1.91", "-1.91", "-1.91"
"01/01/2014", "02/01/2014", "1", "-1.78", "-1.78", "-1.78", "-1.78"
"08/01/2016", "09/01/2016", "1", "-1.56", "-1.56", "-1.56", "-1.56"
"01/01/2017", "02/01/2017", "1", "-1.54", "-1.54", "-1.54", "-1.54"
"12/01/2019", "01/01/2020", "1", "-1.51", "-1.51", "-1.51", "-1.51"
"04/01/2021", "07/01/2021", "3", "-2.02", "-4.23", "-1.41", "-1.19"
"08/01/2022", "10/01/2022", "2", "-1.56", "-2.31", "-1.16", "-1.16"
"12/01/2022", "01/01/2023", "1", "-1.85", "-1.85", "-1.85", "-1.85"
"04/01/2023", "05/01/2023", "1", "-1.77", "-1.77", "-1.77", "-1.77"
