"40712"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"01/01/1991", "01/01/1992", "12", "-1.5", "-10.5", "-0.88", "-0.83"
"11/01/1998", "04/01/2002", "41", "-2.01", "-52.84", "-1.29", "-1.27"
"05/01/2005", "10/01/2006", "17", "-1.72", "-16.88", "-0.99", "-1.13"
"04/01/2008", "06/01/2009", "14", "-1.78", "-11.56", "-0.83", "-0.76"
"09/01/2012", "05/01/2013", "8", "-1.07", "-3.26", "-0.41", "-0.12"
"10/01/2015", "01/01/2016", "3", "-1.16", "-2.9", "-0.97", "-1.13"
"06/01/2017", "04/01/2018", "10", "-1.62", "-10.45", "-1.04", "-1.05"
"11/01/2021", "02/01/2024", "27", "-1.43", "-19.1", "-0.71", "-0.66"
