"40708"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.04"
"-2.1", "2", "0.49", "4.08"
"-2", "5", "1.21", "6.12"
"-1.9", "7", "1.7", "8.16"
"-1.8", "2", "0.49", "10.2"
"-1.7", "2", "0.49", "12.24"
"-1.6", "2", "0.49", "14.29"
"-1.5", "4", "0.97", "16.33"
"-1.4", "7", "1.7", "18.37"
"-1.3", "3", "0.73", "20.41"
"-1.2", "7", "1.7", "22.45"
"-1.1", "3", "0.73", "24.49"
"-1", "7", "1.7", "26.53"
"-0.9", "16", "3.88", "28.57"
"-0.8", "14", "3.4", "30.61"
"-0.7", "14", "3.4", "32.65"
"-0.6", "20", "4.85", "34.69"
"-0.5", "18", "4.37", "36.73"
"-0.4", "14", "3.4", "38.78"
"-0.3", "23", "5.58", "40.82"
"-0.2", "21", "5.1", "42.86"
"-0.1", "18", "4.37", "44.9"
"0", "28", "6.8", "46.94"
"0.1", "10", "2.43", "48.98"
"0.2", "12", "2.91", "51.02"
"0.3", "8", "1.94", "53.06"
"0.4", "7", "1.7", "55.1"
"0.5", "10", "2.43", "57.14"
"0.6", "16", "3.88", "59.18"
"0.7", "9", "2.18", "61.22"
"0.8", "9", "2.18", "63.27"
"0.9", "6", "1.46", "65.31"
"1", "6", "1.46", "67.35"
"1.1", "6", "1.46", "69.39"
"1.2", "4", "0.97", "71.43"
"1.3", "3", "0.73", "73.47"
"1.4", "5", "1.21", "75.51"
"1.5", "6", "1.46", "77.55"
"1.6", "3", "0.73", "79.59"
"1.7", "8", "1.94", "81.63"
"1.8", "2", "0.49", "83.67"
"1.9", "3", "0.73", "85.71"
"2", "4", "0.97", "87.76"
"2.1", "6", "1.46", "89.8"
"2.2", "3", "0.73", "91.84"
"2.5", "1", "0.24", "93.88"
"2.7", "2", "0.49", "95.92"
"2.8", "2", "0.49", "97.96"
"2.9", "1", "0.24", "100"
