"40713"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.04"
"-2.1", "1", "0.24", "4.08"
"-2", "1", "0.24", "6.12"
"-1.9", "5", "1.21", "8.16"
"-1.8", "3", "0.73", "10.2"
"-1.7", "3", "0.73", "12.24"
"-1.6", "6", "1.46", "14.29"
"-1.5", "6", "1.46", "16.33"
"-1.4", "8", "1.94", "18.37"
"-1.3", "8", "1.94", "20.41"
"-1.2", "10", "2.43", "22.45"
"-1.1", "15", "3.64", "24.49"
"-1", "13", "3.16", "26.53"
"-0.9", "6", "1.46", "28.57"
"-0.8", "6", "1.46", "30.61"
"-0.7", "16", "3.88", "32.65"
"-0.6", "11", "2.67", "34.69"
"-0.5", "15", "3.64", "36.73"
"-0.4", "14", "3.4", "38.78"
"-0.3", "13", "3.16", "40.82"
"-0.2", "10", "2.43", "42.86"
"-0.1", "18", "4.37", "44.9"
"0", "10", "2.43", "46.94"
"0.1", "21", "5.1", "48.98"
"0.2", "19", "4.61", "51.02"
"0.3", "13", "3.16", "53.06"
"0.4", "26", "6.31", "55.1"
"0.5", "14", "3.4", "57.14"
"0.6", "13", "3.16", "59.18"
"0.7", "16", "3.88", "61.22"
"0.8", "16", "3.88", "63.27"
"0.9", "2", "0.49", "65.31"
"1", "3", "0.73", "67.35"
"1.1", "1", "0.24", "69.39"
"1.2", "3", "0.73", "71.43"
"1.3", "3", "0.73", "73.47"
"1.4", "5", "1.21", "75.51"
"1.5", "1", "0.24", "77.55"
"1.6", "3", "0.73", "79.59"
"1.7", "1", "0.24", "81.63"
"1.8", "3", "0.73", "83.67"
"1.9", "4", "0.97", "85.71"
"2", "7", "1.7", "87.76"
"2.1", "4", "0.97", "89.8"
"2.2", "2", "0.49", "91.84"
"2.3", "6", "1.46", "93.88"
"2.4", "1", "0.24", "95.92"
"2.5", "3", "0.73", "97.96"
"2.6", "1", "0.24", "100"
