"40713"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"12/01/1995", "01/01/1996", "1", "-2.56", "-2.56", "-2.56", "-2.56"
"05/01/1999", "08/01/1999", "3", "-2.57", "-3.45", "-1.15", "-0.57"
"01/01/2001", "03/01/2001", "2", "-2.23", "-3.27", "-1.64", "-1.64"
"03/01/2005", "04/01/2005", "1", "-2.27", "-2.27", "-2.27", "-2.27"
"04/01/2008", "06/01/2008", "2", "-2.56", "-4.85", "-2.42", "-2.42"
"02/01/2012", "06/01/2012", "4", "-2.6", "-5.04", "-1.26", "-0.94"
"01/01/2017", "07/01/2017", "6", "-2.18", "-5.46", "-0.91", "-0.82"
"03/01/2022", "06/01/2022", "3", "-2.29", "-3.67", "-1.22", "-1.37"
