"40705"
"date", "spi1", "spi3", "spi6", "spi9", "spi12", "spi24"
"04/01/1995", "0.4", "-99", "-99", "-99", "-99", "-99"
"05/01/1995", "-2.07", "-99", "-99", "-99", "-99", "-99"
"06/01/1995", "-1.26", "-1.42", "-99", "-99", "-99", "-99"
"07/01/1995", "-0.57", "-2.28", "-99", "-99", "-99", "-99"
"08/01/1995", "-0.58", "-1.39", "-99", "-99", "-99", "-99"
"09/01/1995", "1.51", "0.66", "-0.77", "-99", "-99", "-99"
"10/01/1995", "-1.2", "0.4", "-1.58", "-99", "-99", "-99"
"11/01/1995", "-1.7", "-0.07", "-1.09", "-99", "-99", "-99"
"12/01/1995", "-0.93", "-2.23", "-0.9", "-1.85", "-99", "-99"
"01/01/1996", "0.15", "-1.68", "-0.75", "-2.28", "-99", "-99"
"02/01/1996", "1.53", "0.73", "0.39", "-0.62", "-99", "-99"
"03/01/1996", "1.12", "1.56", "-0.09", "0.32", "-0.86", "-99"
"04/01/1996", "1.53", "2.17", "1.51", "1.42", "-0.26", "-99"
"05/01/1996", "-0.11", "1.04", "1.23", "1.13", "0.35", "-99"
"06/01/1996", "-1.69", "0.3", "0.86", "0.1", "0.32", "-99"
"07/01/1996", "-0.21", "-0.75", "0.73", "0.27", "0.37", "-99"
"08/01/1996", "-1.18", "-1.34", "0.22", "0.42", "0.33", "-99"
"09/01/1996", "-0.45", "-1.01", "-0.19", "0.42", "-0.32", "-99"
"10/01/1996", "0.6", "-0.31", "-1.06", "0.51", "0.05", "-99"
"11/01/1996", "0.28", "-0.01", "-1.02", "0.13", "0.36", "-99"
"12/01/1996", "-0.99", "0.03", "-0.79", "-0.3", "0.34", "-99"
"01/01/1997", "1.36", "0.4", "-0.14", "-0.86", "0.59", "-99"
"02/01/1997", "-0.42", "0.01", "-0.14", "-1.03", "0.08", "-99"
"03/01/1997", "1.46", "1.25", "1.02", "0.14", "0.25", "-0.48"
"04/01/1997", "-1.88", "-0.42", "-0.24", "-0.54", "-1.22", "-0.98"
"05/01/1997", "-0.36", "-0.49", "-0.5", "-0.6", "-1.18", "-0.63"
"06/01/1997", "1.76", "0.3", "0.71", "0.69", "0.22", "0.31"
"07/01/1997", "0.81", "1.07", "0.56", "0.65", "0.44", "0.52"
"08/01/1997", "-1.08", "1.43", "0.57", "0.5", "0.44", "0.49"
"09/01/1997", "1.26", "0.94", "0.63", "0.91", "0.95", "0.4"
"10/01/1997", "-1.04", "0.13", "1", "0.51", "0.63", "0.4"
"11/01/1997", "0.01", "0.26", "1.34", "0.61", "0.54", "0.54"
"12/01/1997", "-0.71", "-1.02", "-0.03", "0.13", "0.55", "0.55"
"01/01/1998", "1.34", "0.27", "0.14", "1.01", "0.55", "0.73"
"02/01/1998", "2.59", "2.28", "2.01", "2.41", "1.5", "1.12"
"03/01/1998", "-1.25", "1.94", "0.97", "1.33", "1.01", "0.83"
"04/01/1998", "-0.01", "1.09", "1.14", "0.93", "1.6", "0.36"
"05/01/1998", "0.4", "-0.27", "0.99", "1.03", "1.67", "0.45"
"06/01/1998", "0.78", "0.43", "1.14", "0.78", "1.08", "0.86"
"07/01/1998", "1.1", "0.82", "1.06", "1.14", "1.12", "1.08"
"08/01/1998", "0.26", "0.87", "0.25", "1.1", "1.2", "1.12"
"09/01/1998", "0.13", "0.57", "0.53", "1.12", "0.85", "1.18"
"10/01/1998", "0.02", "-0.1", "0.62", "0.93", "1.04", "1.05"
"11/01/1998", "-0.47", "-0.56", "0.35", "-0.06", "0.91", "0.91"
"12/01/1998", "0.54", "-0.19", "0.14", "0.36", "1.06", "1.04"
"01/01/1999", "-0.48", "-0.54", "-0.64", "0.35", "0.75", "0.84"
"02/01/1999", "-0.26", "-0.31", "-0.86", "0.09", "-0.22", "0.93"
"03/01/1999", "-0.38", "-0.81", "-1.11", "-0.49", "-0.02", "0.65"
"04/01/1999", "1.19", "0.54", "0.12", "-0.09", "0.59", "1.41"
"05/01/1999", "0.91", "1", "0.77", "0.43", "0.78", "1.71"
"06/01/1999", "-1.41", "0.73", "0.24", "0.04", "0.22", "0.86"
"07/01/1999", "-1.03", "-0.06", "0.12", "-0.12", "-0.27", "0.6"
