"40704"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1990", "03/01/1991", "8", "-3.49", "-9.74", "-1.22", "-1.05"
"12/01/1995", "03/01/1996", "3", "-2.33", "-4.99", "-1.66", "-1.98"
"02/01/1999", "04/01/1999", "2", "-1.51", "-1.77", "-0.89", "-0.89"
"05/01/2000", "09/01/2000", "4", "-2.67", "-8.89", "-2.22", "-2.18"
"02/01/2001", "12/01/2001", "10", "-2.33", "-10.41", "-1.04", "-1.06"
"10/01/2002", "12/01/2002", "2", "-1.63", "-2.06", "-1.03", "-1.03"
"11/01/2003", "04/01/2004", "5", "-1.68", "-5.02", "-1", "-1.01"
"04/01/2008", "09/01/2008", "5", "-1.92", "-6.85", "-1.37", "-1.65"
"03/01/2009", "09/01/2009", "6", "-2.24", "-9.64", "-1.61", "-1.78"
"11/01/2010", "03/01/2011", "4", "-2.98", "-8.33", "-2.08", "-2.47"
"10/01/2012", "01/01/2013", "3", "-1.9", "-2.41", "-0.8", "-0.46"
"09/01/2013", "12/01/2013", "3", "-1.75", "-2.43", "-0.81", "-0.54"
"03/01/2017", "10/01/2017", "7", "-1.9", "-7.45", "-1.06", "-0.95"
"07/01/2019", "10/01/2019", "3", "-1.6", "-2.99", "-1", "-0.94"
"11/01/2021", "03/01/2022", "4", "-2.12", "-4.07", "-1.02", "-0.93"
"12/01/2022", "06/01/2023", "6", "-2.72", "-11.19", "-1.87", "-2.09"
