"40701"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "2.04"
"-2.5", "1", "0.24", "4.08"
"-2.4", "1", "0.24", "6.12"
"-2.3", "2", "0.49", "8.16"
"-2.2", "1", "0.24", "10.2"
"-2.1", "5", "1.21", "12.24"
"-2", "4", "0.97", "14.29"
"-1.9", "8", "1.94", "16.33"
"-1.8", "4", "0.97", "18.37"
"-1.7", "2", "0.49", "20.41"
"-1.6", "2", "0.49", "22.45"
"-1.5", "5", "1.21", "24.49"
"-1.4", "2", "0.49", "26.53"
"-1.3", "12", "2.91", "28.57"
"-1.2", "8", "1.94", "30.61"
"-1.1", "10", "2.43", "32.65"
"-1", "4", "0.97", "34.69"
"-0.9", "6", "1.46", "36.73"
"-0.8", "7", "1.7", "38.78"
"-0.7", "11", "2.67", "40.82"
"-0.6", "19", "4.61", "42.86"
"-0.5", "20", "4.85", "44.9"
"-0.4", "12", "2.91", "46.94"
"-0.3", "14", "3.4", "48.98"
"-0.2", "12", "2.91", "51.02"
"-0.1", "17", "4.13", "53.06"
"0", "15", "3.64", "55.1"
"0.1", "22", "5.34", "57.14"
"0.2", "14", "3.4", "59.18"
"0.3", "15", "3.64", "61.22"
"0.4", "13", "3.16", "63.27"
"0.5", "17", "4.13", "65.31"
"0.6", "12", "2.91", "67.35"
"0.7", "6", "1.46", "69.39"
"0.8", "13", "3.16", "71.43"
"0.9", "14", "3.4", "73.47"
"1", "6", "1.46", "75.51"
"1.1", "8", "1.94", "77.55"
"1.2", "13", "3.16", "79.59"
"1.3", "10", "2.43", "81.63"
"1.4", "6", "1.46", "83.67"
"1.5", "6", "1.46", "85.71"
"1.6", "9", "2.18", "87.76"
"1.7", "6", "1.46", "89.8"
"1.8", "1", "0.24", "91.84"
"1.9", "5", "1.21", "93.88"
"2", "1", "0.24", "95.92"
"2.1", "1", "0.24", "97.96"
"2.2", "2", "0.49", "100"
