"40712"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"09/01/1991", "12/01/1991", "3", "-1.89", "-3.05", "-1.02", "-0.74"
"11/01/1998", "09/01/1999", "10", "-2.03", "-9.21", "-0.92", "-0.79"
"01/01/2000", "11/01/2000", "10", "-2.04", "-9.1", "-0.91", "-0.87"
"08/01/2002", "03/01/2003", "7", "-1.81", "-6.5", "-0.93", "-0.61"
"09/01/2003", "10/01/2003", "1", "-1.58", "-1.58", "-1.58", "-1.58"
"05/01/2008", "08/01/2008", "3", "-2.44", "-4.99", "-1.66", "-1.61"
"01/01/2009", "08/01/2009", "7", "-2.17", "-6.3", "-0.9", "-0.57"
"11/01/2010", "03/01/2011", "4", "-1.79", "-5.26", "-1.31", "-1.5"
"02/01/2012", "08/01/2012", "6", "-2.09", "-7.36", "-1.23", "-1.24"
"04/01/2013", "07/01/2013", "3", "-1.58", "-2.1", "-0.7", "-0.47"
"03/01/2015", "07/01/2015", "4", "-1.6", "-5.52", "-1.38", "-1.45"
"07/01/2017", "02/01/2018", "7", "-1.75", "-7.05", "-1.01", "-0.97"
"06/01/2021", "08/01/2021", "2", "-1.87", "-2.97", "-1.49", "-1.49"
"09/01/2022", "04/01/2023", "7", "-1.64", "-5.61", "-0.8", "-0.79"
"08/01/2023", "01/01/2024", "5", "-1.54", "-5.6", "-1.12", "-0.93"
