"40717"
"spi", "frequency", "percentage", "rankingpercentile"
"-3.2", "1", "0.24", "2.04"
"-2.6", "1", "0.24", "4.08"
"-2.5", "1", "0.24", "6.12"
"-2.3", "1", "0.24", "8.16"
"-2", "1", "0.24", "10.2"
"-1.9", "4", "0.97", "12.24"
"-1.8", "2", "0.49", "14.29"
"-1.7", "4", "0.97", "16.33"
"-1.6", "3", "0.73", "18.37"
"-1.5", "3", "0.73", "20.41"
"-1.4", "5", "1.21", "22.45"
"-1.3", "6", "1.46", "24.49"
"-1.2", "8", "1.94", "26.53"
"-1.1", "10", "2.43", "28.57"
"-1", "15", "3.64", "30.61"
"-0.9", "9", "2.18", "32.65"
"-0.8", "11", "2.67", "34.69"
"-0.7", "15", "3.64", "36.73"
"-0.6", "17", "4.13", "38.78"
"-0.5", "18", "4.37", "40.82"
"-0.4", "15", "3.64", "42.86"
"-0.3", "17", "4.13", "44.9"
"-0.2", "17", "4.13", "46.94"
"-0.1", "16", "3.88", "48.98"
"0", "16", "3.88", "51.02"
"0.1", "16", "3.88", "53.06"
"0.2", "17", "4.13", "55.1"
"0.3", "16", "3.88", "57.14"
"0.4", "10", "2.43", "59.18"
"0.5", "15", "3.64", "61.22"
"0.6", "10", "2.43", "63.27"
"0.7", "14", "3.4", "65.31"
"0.8", "12", "2.91", "67.35"
"0.9", "13", "3.16", "69.39"
"1", "17", "4.13", "71.43"
"1.1", "6", "1.46", "73.47"
"1.2", "5", "1.21", "75.51"
"1.3", "7", "1.7", "77.55"
"1.4", "3", "0.73", "79.59"
"1.5", "6", "1.46", "81.63"
"1.6", "4", "0.97", "83.67"
"1.7", "3", "0.73", "85.71"
"1.8", "7", "1.7", "87.76"
"1.9", "9", "2.18", "89.8"
"2", "1", "0.24", "91.84"
"2.1", "2", "0.49", "93.88"
"2.2", "1", "0.24", "95.92"
"2.6", "1", "0.24", "97.96"
"2.9", "1", "0.24", "100"
