"40701"
"date", "spi1", "spi3", "spi6", "spi9", "spi12", "spi24"
"01/01/1990", "0.97", "-99", "-99", "-99", "-99", "-99"
"02/01/1990", "-0.4", "-99", "-99", "-99", "-99", "-99"
"03/01/1990", "-1.41", "-0.68", "-99", "-99", "-99", "-99"
"04/01/1990", "-0.04", "-1.02", "-99", "-99", "-99", "-99"
"05/01/1990", "-1.65", "-1.74", "-99", "-99", "-99", "-99"
"06/01/1990", "-0.43", "-1.4", "-1.56", "-99", "-99", "-99"
"07/01/1990", "-2.84", "-2.31", "-2.15", "-99", "-99", "-99"
"08/01/1990", "-0.9", "-1.75", "-2.18", "-99", "-99", "-99"
"09/01/1990", "0.02", "-1.42", "-1.95", "-1.96", "-99", "-99"
"10/01/1990", "-0.74", "-1.32", "-2.52", "-2.33", "-99", "-99"
"11/01/1990", "-0.85", "-1.67", "-2.05", "-2.43", "-99", "-99"
"12/01/1990", "1.02", "-0.69", "-1.59", "-1.95", "-1.91", "-99"
"01/01/1991", "-0.28", "-0.21", "-1.08", "-2.1", "-2.08", "-99"
"02/01/1991", "-0.76", "-0.01", "-1.16", "-1.65", "-2.12", "-99"
"03/01/1991", "2.07", "1.32", "0.37", "-0.53", "-1.18", "-99"
"04/01/1991", "-1.37", "0.33", "0.01", "-0.71", "-1.64", "-99"
"05/01/1991", "-0.01", "0.41", "0.26", "-0.56", "-1.23", "-99"
"06/01/1991", "0.36", "-0.58", "0.1", "-0.28", "-0.92", "-99"
"07/01/1991", "0.2", "-0.01", "0.13", "-0.08", "-0.63", "-99"
"08/01/1991", "-1.26", "-0.2", "0.09", "-0.03", "-0.63", "-99"
"09/01/1991", "-1.64", "-0.87", "-1.04", "-0.37", "-0.71", "-99"
"10/01/1991", "-1.08", "-2.28", "-0.9", "-0.53", "-0.71", "-99"
"11/01/1991", "0.77", "-0.76", "-0.56", "-0.21", "-0.32", "-99"
"12/01/1991", "1.74", "0.78", "-0.17", "-0.55", "-0.06", "-1.26"
"01/01/1992", "0.46", "1.37", "0.01", "-0.05", "0.05", "-1.34"
"02/01/1992", "0.47", "1.34", "0.37", "0.06", "0.2", "-1.26"
"03/01/1992", "-2.09", "-0.88", "0.05", "-0.63", "-0.78", "-1.29"
"04/01/1992", "0.18", "-0.63", "0.47", "-0.5", "-0.38", "-1.28"
"05/01/1992", "0.4", "-0.37", "0.36", "-0.12", "-0.28", "-0.99"
"06/01/1992", "0.58", "0.47", "0.07", "0.33", "-0.18", "-0.71"
"07/01/1992", "0.17", "0.43", "-0.06", "0.51", "-0.19", "-0.52"
"08/01/1992", "1", "0.63", "0.11", "0.53", "0.19", "-0.3"
"09/01/1992", "-0.37", "0.18", "0.34", "0.03", "0.23", "-0.31"
"10/01/1992", "-1.27", "-0.54", "0.01", "-0.3", "0.19", "-0.36"
"11/01/1992", "0.81", "-0.63", "0.13", "-0.15", "0.2", "-0.12"
"12/01/1992", "-0.37", "-0.46", "-0.32", "0.09", "-0.15", "-0.22"
"01/01/1993", "0.3", "0.4", "-0.17", "0.12", "-0.17", "-0.17"
"02/01/1993", "2.72", "1.73", "0.75", "0.76", "0.39", "0.32"
"03/01/1993", "-1.04", "1.46", "0.6", "0.42", "0.5", "-0.19"
"04/01/1993", "0.2", "1.06", "0.95", "0.48", "0.53", "0.05"
"05/01/1993", "-0.11", "-0.5", "0.54", "0.11", "0.36", "-0.02"
"06/01/1993", "1.01", "0.59", "1.13", "0.76", "0.65", "0.23"
"07/01/1993", "0.52", "0.73", "1.04", "1.01", "0.74", "0.29"
"08/01/1993", "1.48", "1.44", "0.67", "1.2", "0.91", "0.61"
"09/01/1993", "-0.77", "0.66", "0.74", "1.14", "0.86", "0.59"
"10/01/1993", "-0.53", "0.2", "0.59", "0.88", "0.88", "0.61"
"11/01/1993", "2.25", "1.28", "1.57", "0.99", "1.41", "1"
"12/01/1993", "-2.28", "1.26", "1.19", "1.08", "1.36", "0.75"
"01/01/1994", "-0.29", "1.39", "1.02", "1.04", "1.2", "0.68"
"02/01/1994", "0.61", "-0.65", "0.62", "1.21", "0.73", "0.7"
"03/01/1994", "0.77", "0.56", "1.21", "1.26", "1.09", "0.96"
"04/01/1994", "0.18", "0.6", "1.27", "1.13", "1.13", "0.98"
"05/01/1994", "0.6", "0.68", "0.24", "0.89", "1.44", "1.06"
"06/01/1994", "1.17", "1.07", "1.17", "1.52", "1.61", "1.3"
"07/01/1994", "-0.42", "0.96", "0.95", "1.38", "1.37", "1.18"
"08/01/1994", "-0.87", "0.52", "0.68", "0.38", "0.85", "0.99"
"09/01/1994", "-0.25", "-1.12", "0.37", "0.49", "0.86", "0.95"
"10/01/1994", "0.16", "-0.73", "0.37", "0.5", "0.93", "1.06"
"11/01/1994", "1.44", "0.78", "0.68", "0.81", "0.54", "1.2"
"12/01/1994", "0.87", "1.36", "0.21", "0.82", "0.87", "1.37"
"01/01/1995", "-0.41", "1.17", "0.35", "0.76", "0.8", "1.3"
"02/01/1995", "-0.44", "-0.08", "0.46", "0.52", "0.67", "0.89"
"03/01/1995", "-0.14", "-0.88", "0.57", "-0.27", "0.51", "0.97"
"04/01/1995", "0.14", "-0.31", "0.5", "-0.01", "0.51", "0.97"
"05/01/1995", "-0.1", "-0.22", "-0.35", "0.08", "0.27", "1"
"06/01/1995", "-0.11", "-0.32", "-0.67", "0.04", "-0.53", "0.66"
"07/01/1995", "1.19", "0.26", "-0.03", "0.42", "0.06", "0.81"
