"40716"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"09/01/1990", "12/01/1990", "3", "-1.89", "-2.47", "-0.82", "-0.5"
"08/01/1994", "11/01/1994", "3", "-1.79", "-2.46", "-0.82", "-0.67"
"02/01/1995", "06/01/1995", "4", "-1.59", "-3.26", "-0.81", "-0.78"
"12/01/1995", "03/01/1996", "3", "-3.03", "-5.45", "-1.82", "-1.57"
"08/01/1996", "10/01/1996", "2", "-1.56", "-1.6", "-0.8", "-0.8"
"04/01/1997", "06/01/1997", "2", "-1.67", "-2.06", "-1.03", "-1.03"
"05/01/1999", "08/01/1999", "3", "-1.53", "-4.33", "-1.44", "-1.43"
"03/01/2001", "09/01/2001", "6", "-1.82", "-7.37", "-1.23", "-1.23"
"10/01/2002", "12/01/2002", "2", "-1.83", "-1.93", "-0.97", "-0.97"
"09/01/2003", "12/01/2003", "3", "-1.62", "-3.49", "-1.16", "-1.45"
"11/01/2007", "02/01/2008", "3", "-2.63", "-4.76", "-1.59", "-1.22"
"05/01/2008", "08/01/2008", "3", "-3.02", "-5.3", "-1.77", "-1.99"
"01/01/2009", "06/01/2009", "5", "-2.26", "-7.36", "-1.47", "-1.84"
"11/01/2010", "05/01/2011", "6", "-2.49", "-7.32", "-1.22", "-1.16"
"04/01/2013", "07/01/2013", "3", "-1.64", "-2.93", "-0.98", "-0.97"
"09/01/2013", "05/01/2014", "8", "-1.73", "-5.31", "-0.66", "-0.38"
"06/01/2015", "09/01/2015", "3", "-2.17", "-3.22", "-1.07", "-0.89"
"07/01/2017", "11/01/2017", "4", "-2.4", "-4.76", "-1.19", "-0.92"
"10/01/2020", "11/01/2020", "1", "-1.58", "-1.58", "-1.58", "-1.58"
"03/01/2021", "08/01/2021", "5", "-2.05", "-8.39", "-1.68", "-1.86"
"08/01/2022", "03/01/2023", "7", "-1.81", "-7.95", "-1.14", "-0.85"
