"40706"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"06/01/1990", "07/01/1991", "13", "-3.21", "-15.55", "-1.2", "-0.94"
"10/01/1991", "12/01/1991", "2", "-1.33", "-2.39", "-1.19", "-1.19"
"12/01/1995", "06/01/1996", "6", "-1.75", "-4.17", "-0.69", "-0.45"
"06/01/1997", "07/01/1997", "1", "-1.06", "-1.06", "-1.06", "-1.06"
"12/01/1997", "03/01/1998", "3", "-1.24", "-2.14", "-0.71", "-0.63"
"11/01/1998", "09/01/1999", "10", "-1.46", "-7.7", "-0.77", "-0.72"
"02/01/2000", "08/01/2000", "6", "-1.37", "-5.55", "-0.93", "-0.94"
"04/01/2001", "11/01/2001", "7", "-1.38", "-7.33", "-1.05", "-1.17"
"08/01/2002", "12/01/2002", "4", "-1.15", "-3.8", "-0.95", "-0.96"
"10/01/2003", "04/01/2004", "6", "-1.74", "-5.32", "-0.89", "-0.63"
"10/01/2004", "01/01/2005", "3", "-1.84", "-2.77", "-0.92", "-0.62"
"12/01/2005", "01/01/2006", "1", "-1.03", "-1.03", "-1.03", "-1.03"
"07/01/2006", "10/01/2006", "3", "-3.04", "-7.29", "-2.43", "-2.29"
"02/01/2007", "04/01/2007", "2", "-1.92", "-2.03", "-1.01", "-1.01"
"11/01/2007", "08/01/2008", "9", "-2.92", "-13.23", "-1.47", "-1.19"
"01/01/2009", "03/01/2009", "2", "-1.74", "-3.4", "-1.7", "-1.7"
"11/01/2010", "04/01/2011", "5", "-3.08", "-9.24", "-1.85", "-1.9"
"04/01/2012", "07/01/2012", "3", "-1.37", "-3.03", "-1.01", "-1.09"
"10/01/2013", "11/01/2013", "1", "-1.05", "-1.05", "-1.05", "-1.05"
"04/01/2014", "05/01/2014", "1", "-1.22", "-1.22", "-1.22", "-1.22"
"03/01/2017", "04/01/2017", "1", "-2.82", "-2.82", "-2.82", "-2.82"
"07/01/2017", "08/01/2017", "1", "-1.12", "-1.12", "-1.12", "-1.12"
"08/01/2019", "10/01/2019", "2", "-1.47", "-2.56", "-1.28", "-1.28"
"11/01/2021", "12/01/2021", "1", "-1.34", "-1.34", "-1.34", "-1.34"
"04/01/2022", "07/01/2022", "3", "-2.14", "-3.68", "-1.23", "-0.92"
"08/01/2022", "03/01/2023", "7", "-1.44", "-7.17", "-1.02", "-1.11"
