"40704"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.49", "1.92"
"-3.5", "1", "0.24", "3.85"
"-3", "1", "0.24", "5.77"
"-2.7", "2", "0.49", "7.69"
"-2.5", "2", "0.49", "9.62"
"-2.3", "4", "0.97", "11.54"
"-2.2", "2", "0.49", "13.46"
"-2.1", "2", "0.49", "15.38"
"-2", "2", "0.49", "17.31"
"-1.9", "4", "0.97", "19.23"
"-1.8", "5", "1.21", "21.15"
"-1.7", "5", "1.21", "23.08"
"-1.6", "4", "0.97", "25"
"-1.5", "6", "1.46", "26.92"
"-1.4", "2", "0.49", "28.85"
"-1.3", "7", "1.7", "30.77"
"-1.2", "6", "1.46", "32.69"
"-1.1", "7", "1.7", "34.62"
"-1", "9", "2.18", "36.54"
"-0.9", "7", "1.7", "38.46"
"-0.8", "8", "1.94", "40.38"
"-0.7", "15", "3.64", "42.31"
"-0.6", "8", "1.94", "44.23"
"-0.5", "14", "3.4", "46.15"
"-0.4", "11", "2.67", "48.08"
"-0.3", "15", "3.64", "50"
"-0.2", "12", "2.91", "51.92"
"-0.1", "16", "3.88", "53.85"
"0", "17", "4.13", "55.77"
"0.1", "16", "3.88", "57.69"
"0.2", "13", "3.16", "59.62"
"0.3", "14", "3.4", "61.54"
"0.4", "16", "3.88", "63.46"
"0.5", "19", "4.61", "65.38"
"0.6", "32", "7.77", "67.31"
"0.7", "13", "3.16", "69.23"
"0.8", "13", "3.16", "71.15"
"0.9", "14", "3.4", "73.08"
"1", "12", "2.91", "75"
"1.1", "15", "3.64", "76.92"
"1.2", "6", "1.46", "78.85"
"1.3", "7", "1.7", "80.77"
"1.4", "7", "1.7", "82.69"
"1.5", "3", "0.73", "84.62"
"1.6", "3", "0.73", "86.54"
"1.7", "3", "0.73", "88.46"
"1.8", "2", "0.49", "90.38"
"1.9", "3", "0.73", "92.31"
"2.1", "1", "0.24", "94.23"
"2.2", "2", "0.49", "96.15"
"2.3", "1", "0.24", "98.08"
"2.4", "1", "0.24", "100"
