"40713"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"10/01/1999", "11/01/2001", "25", "-1.89", "-24.37", "-0.97", "-0.95"
"01/01/2008", "10/01/2008", "9", "-2.62", "-17.15", "-1.91", "-1.87"
"04/01/2009", "10/01/2009", "6", "-2.16", "-8.34", "-1.39", "-1.4"
"11/01/2010", "04/01/2011", "5", "-2.66", "-10.06", "-2.01", "-2"
"03/01/2012", "10/01/2012", "7", "-1.84", "-11", "-1.57", "-1.7"
"08/01/2013", "11/01/2013", "3", "-1.5", "-4.26", "-1.42", "-1.42"
"06/01/2017", "02/01/2018", "8", "-2.52", "-10.68", "-1.33", "-1.39"
"12/01/2019", "04/01/2020", "4", "-1.97", "-3.79", "-0.95", "-0.85"
"10/01/2020", "11/01/2020", "1", "-1.54", "-1.54", "-1.54", "-1.54"
"08/01/2021", "12/01/2021", "4", "-1.94", "-4.78", "-1.19", "-1.22"
"07/01/2022", "08/01/2023", "13", "-1.7", "-9.41", "-0.72", "-0.6"
