"40716"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.49", "1.92"
"-3", "2", "0.49", "3.85"
"-2.6", "1", "0.24", "5.77"
"-2.5", "1", "0.24", "7.69"
"-2.4", "1", "0.24", "9.62"
"-2.3", "1", "0.24", "11.54"
"-2.2", "1", "0.24", "13.46"
"-2", "3", "0.73", "15.38"
"-1.9", "3", "0.73", "17.31"
"-1.8", "7", "1.7", "19.23"
"-1.7", "3", "0.73", "21.15"
"-1.6", "9", "2.18", "23.08"
"-1.5", "5", "1.21", "25"
"-1.4", "5", "1.21", "26.92"
"-1.3", "7", "1.7", "28.85"
"-1.2", "6", "1.46", "30.77"
"-1.1", "7", "1.7", "32.69"
"-1", "8", "1.94", "34.62"
"-0.9", "15", "3.64", "36.54"
"-0.8", "17", "4.13", "38.46"
"-0.7", "10", "2.43", "40.38"
"-0.6", "6", "1.46", "42.31"
"-0.5", "15", "3.64", "44.23"
"-0.4", "9", "2.18", "46.15"
"-0.3", "15", "3.64", "48.08"
"-0.2", "10", "2.43", "50"
"-0.1", "20", "4.85", "51.92"
"0", "21", "5.1", "53.85"
"0.1", "12", "2.91", "55.77"
"0.2", "11", "2.67", "57.69"
"0.3", "21", "5.1", "59.62"
"0.4", "11", "2.67", "61.54"
"0.5", "20", "4.85", "63.46"
"0.6", "10", "2.43", "65.38"
"0.7", "11", "2.67", "67.31"
"0.8", "14", "3.4", "69.23"
"0.9", "15", "3.64", "71.15"
"1", "12", "2.91", "73.08"
"1.1", "12", "2.91", "75"
"1.2", "17", "4.13", "76.92"
"1.3", "7", "1.7", "78.85"
"1.4", "6", "1.46", "80.77"
"1.5", "7", "1.7", "82.69"
"1.6", "3", "0.73", "84.62"
"1.7", "3", "0.73", "86.54"
"1.8", "3", "0.73", "88.46"
"1.9", "2", "0.49", "90.38"
"2.1", "1", "0.24", "92.31"
"2.2", "1", "0.24", "94.23"
"2.3", "1", "0.24", "96.15"
"2.4", "1", "0.24", "98.08"
"2.6", "1", "0.24", "100"
