"40713"
"spi", "frequency", "percentage", "rankingpercentile"
"-2.6", "4", "0.97", "2"
"-2.3", "3", "0.73", "4"
"-2.2", "2", "0.49", "6"
"-2", "1", "0.24", "8"
"-1.9", "2", "0.49", "10"
"-1.8", "2", "0.49", "12"
"-1.7", "1", "0.24", "14"
"-1.6", "7", "1.7", "16"
"-1.5", "4", "0.97", "18"
"-1.4", "4", "0.97", "20"
"-1.3", "1", "0.24", "22"
"-1.2", "6", "1.46", "24"
"-1.1", "10", "2.43", "26"
"-1", "5", "1.21", "28"
"-0.9", "7", "1.7", "30"
"-0.8", "8", "1.94", "32"
"-0.7", "7", "1.7", "34"
"-0.6", "10", "2.43", "36"
"-0.5", "21", "5.1", "38"
"-0.4", "9", "2.18", "40"
"-0.3", "12", "2.91", "42"
"-0.2", "30", "7.28", "44"
"-0.1", "22", "5.34", "46"
"0", "20", "4.85", "48"
"0.1", "39", "9.47", "50"
"0.2", "11", "2.67", "52"
"0.3", "15", "3.64", "54"
"0.4", "17", "4.13", "56"
"0.5", "14", "3.4", "58"
"0.6", "23", "5.58", "60"
"0.7", "10", "2.43", "62"
"0.8", "10", "2.43", "64"
"0.9", "6", "1.46", "66"
"1", "10", "2.43", "68"
"1.1", "9", "2.18", "70"
"1.2", "5", "1.21", "72"
"1.3", "6", "1.46", "74"
"1.4", "5", "1.21", "76"
"1.5", "6", "1.46", "78"
"1.6", "7", "1.7", "80"
"1.7", "4", "0.97", "82"
"1.8", "4", "0.97", "84"
"1.9", "2", "0.49", "86"
"2", "2", "0.49", "88"
"2.1", "3", "0.73", "90"
"2.2", "2", "0.49", "92"
"2.3", "1", "0.24", "94"
"2.4", "1", "0.24", "96"
"2.5", "1", "0.24", "98"
"2.6", "1", "0.24", "100"
