"40710"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "1.92"
"-3", "1", "0.24", "3.85"
"-2.9", "1", "0.24", "5.77"
"-2.8", "2", "0.49", "7.69"
"-2.7", "1", "0.24", "9.62"
"-2.5", "3", "0.73", "11.54"
"-2.4", "2", "0.49", "13.46"
"-2.3", "1", "0.24", "15.38"
"-2.2", "4", "0.97", "17.31"
"-2.1", "2", "0.49", "19.23"
"-2", "1", "0.24", "21.15"
"-1.9", "3", "0.73", "23.08"
"-1.8", "3", "0.73", "25"
"-1.7", "4", "0.97", "26.92"
"-1.6", "2", "0.49", "28.85"
"-1.5", "3", "0.73", "30.77"
"-1.4", "8", "1.94", "32.69"
"-1.3", "2", "0.49", "34.62"
"-1.2", "5", "1.21", "36.54"
"-1.1", "10", "2.43", "38.46"
"-1", "3", "0.73", "40.38"
"-0.9", "13", "3.16", "42.31"
"-0.8", "9", "2.18", "44.23"
"-0.7", "13", "3.16", "46.15"
"-0.6", "11", "2.67", "48.08"
"-0.5", "18", "4.37", "50"
"-0.4", "14", "3.4", "51.92"
"-0.3", "12", "2.91", "53.85"
"-0.2", "11", "2.67", "55.77"
"-0.1", "19", "4.61", "57.69"
"0", "14", "3.4", "59.62"
"0.1", "17", "4.13", "61.54"
"0.2", "17", "4.13", "63.46"
"0.3", "9", "2.18", "65.38"
"0.4", "16", "3.88", "67.31"
"0.5", "24", "5.83", "69.23"
"0.6", "15", "3.64", "71.15"
"0.7", "13", "3.16", "73.08"
"0.8", "6", "1.46", "75"
"0.9", "19", "4.61", "76.92"
"1", "11", "2.67", "78.85"
"1.1", "10", "2.43", "80.77"
"1.2", "14", "3.4", "82.69"
"1.3", "9", "2.18", "84.62"
"1.4", "6", "1.46", "86.54"
"1.5", "4", "0.97", "88.46"
"1.6", "3", "0.73", "90.38"
"1.7", "3", "0.73", "92.31"
"1.8", "1", "0.24", "94.23"
"1.9", "5", "1.21", "96.15"
"2", "2", "0.49", "98.08"
"2.1", "2", "0.49", "100"
