"40710"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1990", "05/01/1991", "10", "-3.26", "-21.04", "-2.1", "-1.82"
"03/01/1996", "04/01/1996", "1", "-2.25", "-2.25", "-2.25", "-2.25"
"09/01/2000", "11/01/2000", "2", "-1.53", "-2.28", "-1.14", "-1.14"
"04/01/2001", "12/01/2001", "8", "-1.69", "-9.35", "-1.17", "-1.27"
"11/01/2002", "02/01/2003", "3", "-1.72", "-3.27", "-1.09", "-0.81"
"04/01/2008", "10/01/2008", "6", "-2.17", "-9.96", "-1.66", "-1.75"
"12/01/2010", "05/01/2011", "5", "-2.31", "-7.19", "-1.44", "-1.53"
"08/01/2016", "12/01/2016", "4", "-1.68", "-5", "-1.25", "-1.38"
"05/01/2017", "02/01/2018", "9", "-2.81", "-16.61", "-1.85", "-1.92"
"12/01/2022", "03/01/2023", "3", "-1.59", "-3.64", "-1.21", "-1.2"
