"40710"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.49", "1.92"
"-4.1", "1", "0.24", "3.85"
"-3.1", "1", "0.24", "5.77"
"-3", "1", "0.24", "7.69"
"-2.9", "1", "0.24", "9.62"
"-2.6", "1", "0.24", "11.54"
"-2.2", "2", "0.49", "13.46"
"-2.1", "5", "1.21", "15.38"
"-2", "5", "1.21", "17.31"
"-1.9", "1", "0.24", "19.23"
"-1.8", "2", "0.49", "21.15"
"-1.7", "2", "0.49", "23.08"
"-1.6", "5", "1.21", "25"
"-1.5", "6", "1.46", "26.92"
"-1.4", "6", "1.46", "28.85"
"-1.3", "1", "0.24", "30.77"
"-1.2", "4", "0.97", "32.69"
"-1.1", "13", "3.16", "34.62"
"-1", "11", "2.67", "36.54"
"-0.9", "11", "2.67", "38.46"
"-0.8", "11", "2.67", "40.38"
"-0.7", "11", "2.67", "42.31"
"-0.6", "16", "3.88", "44.23"
"-0.5", "12", "2.91", "46.15"
"-0.4", "12", "2.91", "48.08"
"-0.3", "14", "3.4", "50"
"-0.2", "24", "5.83", "51.92"
"-0.1", "11", "2.67", "53.85"
"0", "13", "3.16", "55.77"
"0.1", "12", "2.91", "57.69"
"0.2", "20", "4.85", "59.62"
"0.3", "17", "4.13", "61.54"
"0.4", "21", "5.1", "63.46"
"0.5", "8", "1.94", "65.38"
"0.6", "15", "3.64", "67.31"
"0.7", "15", "3.64", "69.23"
"0.8", "17", "4.13", "71.15"
"0.9", "10", "2.43", "73.08"
"1", "13", "3.16", "75"
"1.1", "8", "1.94", "76.92"
"1.2", "8", "1.94", "78.85"
"1.3", "12", "2.91", "80.77"
"1.4", "11", "2.67", "82.69"
"1.5", "3", "0.73", "84.62"
"1.6", "4", "0.97", "86.54"
"1.7", "2", "0.49", "88.46"
"1.8", "3", "0.73", "90.38"
"2", "1", "0.24", "92.31"
"2.1", "4", "0.97", "94.23"
"2.2", "1", "0.24", "96.15"
"2.4", "1", "0.24", "98.08"
"2.6", "1", "0.24", "100"
