"40726"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"10/01/1992", "11/01/1992", "1", "-1.78", "-1.78", "-1.78", "-1.78"
"10/01/1998", "08/01/1999", "10", "-2.2", "-14.95", "-1.5", "-1.73"
"05/01/2005", "07/01/2005", "2", "-1.51", "-1.97", "-0.99", "-0.99"
"11/01/2007", "09/01/2008", "10", "-3.2", "-14", "-1.4", "-1.6"
"01/01/2009", "05/01/2009", "4", "-2.34", "-5.42", "-1.36", "-1.42"
"11/01/2010", "04/01/2011", "5", "-2.34", "-6.09", "-1.22", "-1.29"
"11/01/2016", "01/01/2018", "14", "-2.36", "-11.87", "-0.85", "-0.72"
"10/01/2020", "11/01/2020", "1", "-1.93", "-1.93", "-1.93", "-1.93"
"05/01/2021", "10/01/2021", "5", "-1.6", "-3.82", "-0.76", "-0.46"
