"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"12/01/1995", "03/01/1996", "3", "-2.28", "-4.75", "-1.58", "-1.85"
"07/01/2000", "02/01/2002", "19", "-2.21", "-18.09", "-0.95", "-0.94"
"03/01/2004", "05/01/2004", "2", "-2.15", "-3.35", "-1.68", "-1.68"
"05/01/2006", "03/01/2007", "10", "-2.44", "-16.13", "-1.61", "-1.54"
"04/01/2008", "01/01/2009", "9", "-2.03", "-11", "-1.22", "-1.1"
"03/01/2014", "02/01/2015", "11", "-2.01", "-10.42", "-0.95", "-0.77"
"06/01/2017", "03/01/2018", "9", "-2.14", "-13.2", "-1.47", "-1.58"
"10/01/2021", "04/01/2022", "6", "-1.81", "-6.81", "-1.13", "-1.13"
"02/01/2023", "01/01/2024", "11", "-2.59", "-11.62", "-1.06", "-0.72"
