"40704"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"01/01/1991", "07/01/1991", "6", "-1.55", "-6.11", "-1.02", "-1.17"
"06/01/1996", "11/01/1996", "5", "-1.13", "-4.32", "-0.86", "-0.86"
"10/01/2000", "02/01/2003", "28", "-1.85", "-27.14", "-0.97", "-0.8"
"06/01/2008", "05/01/2010", "23", "-2.71", "-32.13", "-1.4", "-1.48"
"06/01/2014", "10/01/2014", "4", "-1.25", "-3.91", "-0.98", "-1.01"
"11/01/2016", "03/01/2018", "16", "-1.74", "-17.31", "-1.08", "-1.1"
"03/01/2020", "06/01/2020", "3", "-1.27", "-2.06", "-0.69", "-0.63"
"10/01/2021", "01/01/2024", "27", "-2.56", "-37.33", "-1.38", "-1.32"
