"40706"
"spi", "frequency", "percentage", "rankingpercentile"
"-3.8", "1", "0.24", "1.92"
"-2.8", "1", "0.24", "3.85"
"-2.7", "1", "0.24", "5.77"
"-2.6", "1", "0.24", "7.69"
"-2.5", "1", "0.24", "9.62"
"-2.4", "2", "0.49", "11.54"
"-2.3", "1", "0.24", "13.46"
"-2.2", "1", "0.24", "15.38"
"-2.1", "1", "0.24", "17.31"
"-1.9", "4", "0.97", "19.23"
"-1.8", "2", "0.49", "21.15"
"-1.7", "2", "0.49", "23.08"
"-1.6", "3", "0.73", "25"
"-1.5", "3", "0.73", "26.92"
"-1.4", "4", "0.97", "28.85"
"-1.3", "5", "1.21", "30.77"
"-1.2", "14", "3.4", "32.69"
"-1.1", "10", "2.43", "34.62"
"-1", "9", "2.18", "36.54"
"-0.9", "10", "2.43", "38.46"
"-0.8", "6", "1.46", "40.38"
"-0.7", "9", "2.18", "42.31"
"-0.6", "18", "4.37", "44.23"
"-0.5", "12", "2.91", "46.15"
"-0.4", "19", "4.61", "48.08"
"-0.3", "18", "4.37", "50"
"-0.2", "16", "3.88", "51.92"
"-0.1", "10", "2.43", "53.85"
"0", "20", "4.85", "55.77"
"0.1", "22", "5.34", "57.69"
"0.2", "17", "4.13", "59.62"
"0.3", "13", "3.16", "61.54"
"0.4", "12", "2.91", "63.46"
"0.5", "19", "4.61", "65.38"
"0.6", "15", "3.64", "67.31"
"0.7", "14", "3.4", "69.23"
"0.8", "10", "2.43", "71.15"
"0.9", "8", "1.94", "73.08"
"1", "12", "2.91", "75"
"1.1", "13", "3.16", "76.92"
"1.2", "8", "1.94", "78.85"
"1.3", "11", "2.67", "80.77"
"1.4", "5", "1.21", "82.69"
"1.5", "10", "2.43", "84.62"
"1.6", "2", "0.49", "86.54"
"1.7", "7", "1.7", "88.46"
"1.8", "3", "0.73", "90.38"
"1.9", "2", "0.49", "92.31"
"2", "1", "0.24", "94.23"
"2.1", "1", "0.24", "96.15"
"2.2", "2", "0.49", "98.08"
"2.6", "1", "0.24", "100"
