"40708"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"11/01/1990", "03/01/1991", "4", "-1.68", "-4.97", "-1.24", "-1.17"
"12/01/1991", "04/01/1992", "4", "-1.23", "-3.9", "-0.98", "-1.03"
"10/01/1994", "11/01/1994", "1", "-1.29", "-1.29", "-1.29", "-1.29"
"08/01/1995", "02/01/1996", "6", "-1.07", "-3.11", "-0.52", "-0.59"
"02/01/1999", "10/01/1999", "8", "-1.37", "-8.44", "-1.05", "-1.21"
"05/01/2001", "04/01/2002", "11", "-2.08", "-12.05", "-1.1", "-1.38"
"01/01/2004", "07/01/2004", "6", "-1.67", "-5.33", "-0.89", "-0.93"
"08/01/2006", "04/01/2007", "8", "-1.55", "-8.51", "-1.06", "-1.15"
"01/01/2008", "10/01/2008", "9", "-1.69", "-9.2", "-1.02", "-1"
"07/01/2009", "11/01/2009", "4", "-1.78", "-4.39", "-1.1", "-1.07"
"01/01/2011", "09/01/2011", "8", "-2.08", "-11.23", "-1.4", "-1.48"
"04/01/2013", "08/01/2013", "4", "-1.43", "-3.3", "-0.83", "-0.86"
"05/01/2014", "10/01/2014", "5", "-1.78", "-6.44", "-1.29", "-1.33"
"07/01/2015", "10/01/2015", "3", "-1.08", "-1.69", "-0.56", "-0.54"
"01/01/2017", "12/01/2018", "23", "-1.59", "-23.28", "-1.01", "-1.03"
"08/01/2021", "03/01/2022", "7", "-3.01", "-12.37", "-1.77", "-2.22"
"12/01/2022", "09/01/2023", "9", "-2.28", "-10.64", "-1.18", "-1.1"
