"88107"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.82", "2.08"
"-3", "1", "0.41", "4.17"
"-2.8", "1", "0.41", "6.25"
"-2.2", "3", "1.23", "8.33"
"-2.1", "1", "0.41", "10.42"
"-2", "1", "0.41", "12.5"
"-1.9", "1", "0.41", "14.58"
"-1.8", "2", "0.82", "16.67"
"-1.7", "3", "1.23", "18.75"
"-1.6", "4", "1.64", "20.83"
"-1.5", "2", "0.82", "22.92"
"-1.4", "1", "0.41", "25"
"-1.3", "4", "1.64", "27.08"
"-1.2", "1", "0.41", "29.17"
"-1.1", "5", "2.05", "31.25"
"-1", "7", "2.87", "33.33"
"-0.9", "7", "2.87", "35.42"
"-0.8", "8", "3.28", "37.5"
"-0.7", "10", "4.1", "39.58"
"-0.6", "9", "3.69", "41.67"
"-0.5", "12", "4.92", "43.75"
"-0.4", "5", "2.05", "45.83"
"-0.3", "10", "4.1", "47.92"
"-0.2", "10", "4.1", "50"
"-0.1", "13", "5.33", "52.08"
"0", "11", "4.51", "54.17"
"0.1", "14", "5.74", "56.25"
"0.2", "5", "2.05", "58.33"
"0.3", "7", "2.87", "60.42"
"0.4", "8", "3.28", "62.5"
"0.5", "4", "1.64", "64.58"
"0.6", "7", "2.87", "66.67"
"0.7", "5", "2.05", "68.75"
"0.8", "8", "3.28", "70.83"
"0.9", "4", "1.64", "72.92"
"1", "6", "2.46", "75"
"1.1", "9", "3.69", "77.08"
"1.2", "6", "2.46", "79.17"
"1.3", "4", "1.64", "81.25"
"1.4", "4", "1.64", "83.33"
"1.5", "3", "1.23", "85.42"
"1.6", "3", "1.23", "87.5"
"1.7", "3", "1.23", "89.58"
"1.8", "2", "0.82", "91.67"
"1.9", "1", "0.41", "93.75"
"2", "3", "1.23", "95.83"
"2.1", "3", "1.23", "97.92"
"2.9", "1", "0.41", "100"
