"40712"
"spi", "frequency", "percentage", "rankingpercentile"
"-3", "2", "0.49", "2.08"
"-2.3", "1", "0.24", "4.17"
"-2.2", "2", "0.49", "6.25"
"-2", "1", "0.24", "8.33"
"-1.9", "4", "0.97", "10.42"
"-1.8", "3", "0.73", "12.5"
"-1.7", "4", "0.97", "14.58"
"-1.6", "4", "0.97", "16.67"
"-1.5", "4", "0.97", "18.75"
"-1.4", "2", "0.49", "20.83"
"-1.3", "7", "1.7", "22.92"
"-1.2", "2", "0.49", "25"
"-1.1", "9", "2.18", "27.08"
"-1", "11", "2.67", "29.17"
"-0.9", "10", "2.43", "31.25"
"-0.8", "13", "3.16", "33.33"
"-0.7", "6", "1.46", "35.42"
"-0.6", "20", "4.85", "37.5"
"-0.5", "14", "3.4", "39.58"
"-0.4", "26", "6.31", "41.67"
"-0.3", "24", "5.83", "43.75"
"-0.2", "19", "4.61", "45.83"
"-0.1", "9", "2.18", "47.92"
"0", "15", "3.64", "50"
"0.1", "18", "4.37", "52.08"
"0.2", "14", "3.4", "54.17"
"0.3", "16", "3.88", "56.25"
"0.4", "12", "2.91", "58.33"
"0.5", "19", "4.61", "60.42"
"0.6", "16", "3.88", "62.5"
"0.7", "13", "3.16", "64.58"
"0.8", "15", "3.64", "66.67"
"0.9", "10", "2.43", "68.75"
"1", "9", "2.18", "70.83"
"1.1", "11", "2.67", "72.92"
"1.2", "2", "0.49", "75"
"1.3", "10", "2.43", "77.08"
"1.4", "7", "1.7", "79.17"
"1.5", "4", "0.97", "81.25"
"1.6", "3", "0.73", "83.33"
"1.7", "4", "0.97", "85.42"
"1.8", "4", "0.97", "87.5"
"2", "1", "0.24", "89.58"
"2.1", "4", "0.97", "91.67"
"2.2", "4", "0.97", "93.75"
"2.3", "1", "0.24", "95.83"
"2.4", "2", "0.49", "97.92"
"2.5", "1", "0.24", "100"
