"40705"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "2.29", "2.04"
"-2.6", "1", "0.29", "4.08"
"-2.4", "1", "0.29", "6.12"
"-2.3", "3", "0.86", "8.16"
"-2.2", "3", "0.86", "10.2"
"-2.1", "1", "0.29", "12.24"
"-2", "4", "1.15", "14.29"
"-1.9", "3", "0.86", "16.33"
"-1.8", "5", "1.43", "18.37"
"-1.7", "2", "0.57", "20.41"
"-1.6", "3", "0.86", "22.45"
"-1.5", "6", "1.72", "24.49"
"-1.4", "4", "1.15", "26.53"
"-1.3", "4", "1.15", "28.57"
"-1.2", "7", "2.01", "30.61"
"-1.1", "7", "2.01", "32.65"
"-1", "5", "1.43", "34.69"
"-0.9", "9", "2.58", "36.73"
"-0.8", "8", "2.29", "38.78"
"-0.7", "10", "2.87", "40.82"
"-0.6", "9", "2.58", "42.86"
"-0.5", "7", "2.01", "44.9"
"-0.4", "18", "5.16", "46.94"
"-0.3", "10", "2.87", "48.98"
"-0.2", "14", "4.01", "51.02"
"-0.1", "10", "2.87", "53.06"
"0", "14", "4.01", "55.1"
"0.1", "18", "5.16", "57.14"
"0.2", "9", "2.58", "59.18"
"0.3", "18", "5.16", "61.22"
"0.4", "20", "5.73", "63.27"
"0.5", "10", "2.87", "65.31"
"0.6", "7", "2.01", "67.35"
"0.7", "13", "3.72", "69.39"
"0.8", "10", "2.87", "71.43"
"0.9", "10", "2.87", "73.47"
"1", "5", "1.43", "75.51"
"1.1", "5", "1.43", "77.55"
"1.2", "11", "3.15", "79.59"
"1.3", "10", "2.87", "81.63"
"1.4", "6", "1.72", "83.67"
"1.5", "4", "1.15", "85.71"
"1.6", "4", "1.15", "87.76"
"1.7", "3", "0.86", "89.8"
"1.8", "2", "0.57", "91.84"
"1.9", "2", "0.57", "93.88"
"2", "2", "0.57", "95.92"
"2.3", "3", "0.86", "97.96"
"2.4", "1", "0.29", "100"
