,forecast_spi
2024-05-01,-0.6084019763102861
2024-06-01,-0.12925717017584543
2024-07-01,-0.7385471914193351
2024-08-01,-0.7149324180863534
2024-09-01,-0.5686500994121441
2024-10-01,-0.8811442060192819
2024-11-01,-0.9859097802717631
2024-12-01,-0.9828479566095986
2025-01-01,-1.0133606482445676
2025-02-01,-1.5697005004628082
2025-03-01,-1.700177509328649
2025-04-01,-1.9975602783686301
2025-05-01,-1.6092339975467058
2025-06-01,-1.7359683417432854
