ds,y
1991-01-01,0.6293001261193893
1991-02-01,-0.19345714573873216
1991-03-01,0.17828562935027534
1991-04-01,2.552545994944527
1991-05-01,-0.25359306677416554
1991-06-01,1.0939539759087917
1991-07-01,-0.38979578548820504
1991-08-01,-0.7420687397899582
1991-09-01,-0.8698873502181813
1991-10-01,-0.8804349411278141
1991-11-01,-0.38881713555687913
1991-12-01,-0.31021276267728987
1992-01-01,0.4062012843232317
1992-02-01,-0.32152635784531647
1992-03-01,-0.02361957651736818
1992-04-01,0.5378923747753387
1992-05-01,2.5883933518695383
1992-06-01,0.8314505817916336
1992-07-01,1.562778916469965
1992-08-01,-0.6602807845312388
1992-09-01,-0.35374592905853985
1992-10-01,-0.7669396776537857
1992-11-01,-0.9384913773259155
1992-12-01,0.7596283262568554
1993-01-01,0.060224508222148185
1993-02-01,-0.17525709729571437
1993-03-01,0.2868510681794659
1993-04-01,0.2915751997517598
1993-05-01,-0.4813390538061628
1993-06-01,0.3197183040458998
1993-07-01,0.6227529167051713
1993-08-01,-1.4723477808612766
1993-09-01,-1.15218267174321
1993-10-01,-1.452061087291224
1993-11-01,-0.6412837607800299
1993-12-01,2.684522235304505
1994-01-01,-0.17664487957013703
1994-02-01,-0.6317396902308469
1994-03-01,-0.4679785509418731
1994-04-01,0.03631390505414534
1994-05-01,-0.08800464458169154
1994-06-01,0.7010879822414128
1994-07-01,-0.5456082525841324
1994-08-01,-0.7946571566449298
1994-09-01,-0.7992971833808233
1994-10-01,-0.7402996269577851
1994-11-01,-0.22537802199191057
1994-12-01,2.982744641092856
1995-01-01,-0.38239433617554186
1995-02-01,-0.24314906317891286
1995-03-01,-0.213019353527206
1995-04-01,0.03566386613217853
1995-05-01,0.11819624981141569
1995-06-01,-0.29550081913502446
1995-07-01,-0.04027129264326804
1995-08-01,-0.6050138408361886
1995-09-01,-0.6568899183645192
1995-10-01,0.3641310505221647
1995-11-01,-0.1531679177527153
1995-12-01,-1.2221523891427322
1996-01-01,-0.727154681169784
1996-02-01,0.34839449703249653
1996-03-01,0.49246087334475547
1996-04-01,0.9300118603027959
1996-05-01,1.9892602085693363
1996-06-01,0.7767284503344914
1996-07-01,-0.954955253210339
1996-08-01,-1.10816187673059
1996-09-01,-1.065854473983748
1996-10-01,-0.5257873610980484
1996-11-01,-0.021423119299745465
1996-12-01,0.21370466572868538
1997-01-01,-0.8264048861284814
1997-02-01,1.498927424729062
1997-03-01,0.7991646070891062
1997-04-01,2.058938301265678
1997-05-01,-0.7490889123126654
1997-06-01,0.5542588733663406
1997-07-01,0.9812201609072578
1997-08-01,0.17943602006001028
1997-09-01,-1.24665764675168
1997-10-01,-0.600765508520855
1997-11-01,-0.5115193982432077
1997-12-01,-0.31244363376023176
1998-01-01,-0.6478309204675952
1998-02-01,1.346095734089071
1998-03-01,0.9696618138105643
1998-04-01,-0.28473197017205193
1998-05-01,0.44267505922912803
1998-06-01,1.1031595337374318
1998-07-01,-0.9460346488426696
1998-08-01,-0.9933098352754234
1998-09-01,-1.228142467796471
1998-10-01,-0.9525274776653467
1998-11-01,-0.4589400515683334
1998-12-01,-0.36069843867889984
1999-01-01,-0.2109178748859249
1999-02-01,-0.31716824641502583
1999-03-01,-0.9162233259859189
1999-04-01,0.9594750619278015
1999-05-01,0.8830005717973174
1999-06-01,1.9435647814782484
1999-07-01,-1.028211164448045
1999-08-01,-0.5898712508778434
1999-09-01,-1.0314706873984754
1999-10-01,-0.3051685141496439
1999-11-01,2.151666960842075
1999-12-01,0.358437349561062
2000-01-01,-0.9525089203932039
2000-02-01,0.5696627970834353
2000-03-01,-0.0729235678591383
2000-04-01,2.396473652177538
2000-05-01,-0.4124007038025507
2000-06-01,-0.3332482775025021
2000-07-01,-0.7307915786647787
2000-08-01,-0.7433903316349164
2000-09-01,-0.7836232293539747
2000-10-01,-0.6246149104343827
2000-11-01,0.5205686643215771
2000-12-01,0.4514409243581207
2001-01-01,-0.275514826871215
2001-02-01,-0.17011349917261923
2001-03-01,-0.7525507131925435
2001-04-01,-0.1424813479877641
2001-05-01,1.6156768596022304
2001-06-01,0.16749551521164274
2001-07-01,-1.1986512625127421
2001-08-01,-0.9196358905184909
2001-09-01,-0.8549620918487782
2001-10-01,-0.9955410399206344
2001-11-01,2.082532778289954
2001-12-01,1.2442329086099082
2002-01-01,0.3033090997659364
2002-02-01,-0.48665320414947355
2002-03-01,-0.7604119602938443
2002-04-01,0.192937823402478
2002-05-01,1.7444014405233068
2002-06-01,1.4663663052109506
2002-07-01,-0.99681212244301
2002-08-01,0.20493105336702608
2002-09-01,-0.9866090617567689
2002-10-01,-1.0944237233129166
2002-11-01,-0.7931348006554557
2002-12-01,0.4148197509637336
2003-01-01,0.9824717647893756
2003-02-01,0.07933285696889658
2003-03-01,0.020136670603767177
2003-04-01,1.238883628743695
2003-05-01,1.9533324207074736
2003-06-01,0.047847109028588776
2003-07-01,-0.6338475913732795
2003-08-01,-1.0361417268479662
2003-09-01,-0.5404993162577456
2003-10-01,-0.9098142185670604
2003-11-01,-1.0427300318529542
2003-12-01,-0.18711959415486268
2004-01-01,-0.2915286655441843
2004-02-01,-0.13746525137200144
2004-03-01,-0.6573756142011775
2004-04-01,0.2221474492270504
2004-05-01,2.8443529481224785
2004-06-01,2.094755452795502
2004-07-01,-0.7677051764335704
2004-08-01,0.40769973332424553
2004-09-01,-0.9188469024158491
2004-10-01,-0.883240826143939
2004-11-01,0.0836112010840411
2004-12-01,0.9876212733816611
2005-01-01,0.09957479299454648
2005-02-01,-0.45836098239800205
