date spi1 spi3 spi6 spi9 spi12 spi24
03/01/1998 -0.47 1.71 1.01 1.48 1.27 1.68
04/01/1998 0.31 0.91 1.21 1.08 1.84 1.5
05/01/1998 0.94 0.35 1.86 1.59 2.4 1.9
06/01/1998 0.14 0.56 1.59 1.23 1.67 2.04
07/01/1998 0.37 0.55 0.93 1.24 1.2 2.1
08/01/1998 -0.24 -0.1 0.11 1.4 1.18 2.06
09/01/1998 0.09 -0.36 0.32 1.41 1 2.01
10/01/1998 -0.3 -0.7 -0.08 0.56 1.01 1.87
11/01/1998 -0.22 -0.69 -0.89 -0.52 0.88 1.52
12/01/1998 0.35 -0.52 -0.77 -0.23 0.96 1.74
01/01/1999 -0.33 -0.4 -1.04 -0.4 0.12 1.42
02/01/1999 -1.92 -0.97 -1.48 -1.37 -0.95 1.02
03/01/1999 0.26 -0.66 -1.07 -1.19 -0.61 0.52
04/01/1999 -0.01 -0.7 -0.82 -1.34 -0.78 0.87
05/01/1999 0.45 0.16 -0.46 -1.24 -1.25 1.04
06/01/1999 -0.77 -0.2 -0.7 -1.32 -1.42 0.34
07/01/1999 0.67 0.05 -0.58 -0.82 -1.38 -0.05
08/01/1999 0.2 -0.3 -0.11 -0.62 -1.27 0
09/01/1999 0.77 0.57 -0.02 -0.54 -1.1 -0.03
10/01/1999 1.33 1.36 1 0.31 -0.11 0.59
11/01/1999 0.26 1.03 0.72 0.63 0.13 0.59
12/01/1999 -1.53 0.51 0.61 0.26 -0.23 0.46
01/01/2000 0.88 -0.09 0.86 0.58 0.1 0.09
02/01/2000 0.24 -0.13 0.86 0.5 0.46 -0.35
03/01/2000 2.44 1.87 1.83 1.84 1.39 0.63
04/01/2000 -0.94 1.31 0.81 1.5 1.19 0.33
05/01/2000 -1.3 0.64 0.39 1.17 0.8 -0.3
06/01/2000 -0.26 -1.81 0.53 0.79 0.85 -0.39
07/01/2000 0.23 -1.16 0.29 0.08 0.78 -0.4
08/01/2000 0.34 -0.28 0.28 0.11 0.77 -0.35
09/01/2000 0.29 -0.06 -1.67 0.43 0.65 -0.33
10/01/2000 0.6 0.43 -0.77 0.43 0.19 -0.01
11/01/2000 0.46 0.48 0.16 0.47 0.3 0.22
12/01/2000 0.09 0.42 0.28 -0.94 0.57 0.19
01/01/2001 -0.11 0.11 0.23 -0.5 0.32 0.22
02/01/2001 -2.31 -1.15 -0.3 -0.48 -0.06 0.22
03/01/2001 -1.25 -1.57 -0.72 -0.77 -1.68 -0.03
04/01/2001 0.23 -1.47 -0.88 -0.74 -1.25 0.04
05/01/2001 -1.05 -1.28 -1.82 -1.38 -1.45 -0.43
06/01/2001 -2.04 -0.96 -1.89 -1.58 -1.56 -0.49
07/01/2001 0.04 -1.41 -2.17 -1.64 -1.63 -0.57
08/01/2001 0.45 -0.77 -1.44 -1.91 -1.54 -0.53
09/01/2001 -0.52 -0.65 -1.19 -2.08 -1.73 -0.75
10/01/2001 1.1 0.79 -0.53 -1.68 -1.37 -0.83
11/01/2001 0.58 0.79 0.34 -0.61 -1.18 -0.55
12/01/2001 0.42 0.99 0.73 -0.07 -1 -0.28
01/01/2002 -1.25 0.07 0.49 -0.38 -1.33 -0.63
02/01/2002 -1.8 -1.34 0 -0.38 -1.17 -0.88
03/01/2002 -0.57 -1.61 -0.1 -0.33 -0.89 -1.99
04/01/2002 0.79 -0.42 -0.29 0.08 -0.62 -1.41
05/01/2002 0.89 0.65 -0.18 0.4 -0.01 -1.09
06/01/2002 -1.4 0.62 -0.52 0.22 0 -1.22
07/01/2002 1.83 0.87 0.29 0.18 0.5 -0.81
08/01/2002 0.24 0.56 0.66 0 0.46 -0.8
09/01/2002 -0.8 0.93 0.84 -0.23 0.44 -0.93
10/01/2002 -1.41 -1.9 -0.19 -0.61 -0.56 -1.39
11/01/2002 0.17 -1.01 -0.65 -0.13 -0.77 -1.25
12/01/2002 1.18 -0.05 0.25 0.54 -0.38 -0.94
01/01/2003 0.21 0.63 -0.39 0.25 -0.1 -0.93
02/01/2003 0.3 0.96 -0.27 -0.04 0.3 -0.61
03/01/2003 0.99 0.67 0.38 0.61 0.79 -0.07
04/01/2003 1.42 1.67 1.52 0.92 1.15 0.4
05/01/2003 -0.52 1.25 1.53 0.71 0.75 0.48
06/01/2003 0.31 0.76 0.93 0.78 0.96 0.69
07/01/2003 -0.69 -0.53 0.88 1.01 0.44 0.65
08/01/2003 1.27 0.34 1.01 1.28 0.61 0.76
09/01/2003 0.11 0.17 0.67 0.88 0.7 0.82
10/01/2003 -1.71 -0.8 -1.29 0.46 0.71 0.07
11/01/2003 -0.1 -1.15 -0.95 0.17 0.55 -0.15
12/01/2003 0.01 -1.14 -1.12 -0.27 0.11 -0.22
01/01/2004 -0.1 -0.41 -1.11 -1.22 0.03 -0.09
02/01/2004 -1.32 -0.96 -1.89 -1.42 -0.28 -0.05
03/01/2004 -0.47 -0.92 -1.79 -1.67 -0.78 0
04/01/2004 1.32 0.3 -0.13 -0.64 -0.89 0.23
05/01/2004 1.57 1.58 0.86 -0.1 -0.06 0.45
06/01/2004 -0.81 1.48 0.59 -0.29 -0.29 0.49
07/01/2004 2.04 1.46 1.25 0.74 0.39 0.56
08/01/2004 -1.56 0.68 1.43 0.89 0.12 0.5
09/01/2004 -1.66 0.97 1.61 0.8 -0.01 0.48
10/01/2004 0.2 -0.54 1.02 1 0.49 0.77
11/01/2004 0.95 0.46 0.62 1.52 1.04 0.94
12/01/2004 0.78 0.87 1.12 1.84 1.25 0.87
01/01/2005 -0.41 0.84 0.36 1.18 1.27 0.81
02/01/2005 -0.49 -0.1 0.24 0.43 1.31 0.7
03/01/2005 0.14 -0.4 0.41 0.65 1.38 0.51
04/01/2005 -0.44 -0.73 0.16 -0.22 0.7 -0.14
05/01/2005 1.8 0.86 0.6 0.79 0.88 0.55
06/01/2005 0.48 0.91 0.35 0.93 1.11 0.61
07/01/2005 0.25 1.28 0.49 0.84 0.58 0.67
08/01/2005 -0.09 0.15 0.62 0.44 0.6 0.49
09/01/2005 0.8 0.29 0.84 0.35 0.87 0.62
10/01/2005 -0.01 0.03 1.12 0.41 0.83 0.85
11/01/2005 0.74 0.51 0.38 0.81 0.64 0.99
12/01/2005 -1.05 -0.05 -0.06 0.54 0.17 0.91
01/01/2006 0.64 0.33 0.16 0.91 0.45 1.06
02/01/2006 -0.21 -0.48 0.08 0.02 0.49 1.19
03/01/2006 -0.54 -0.21 -0.33 -0.29 0.29 1.22
04/01/2006 0.69 -0.07 0.13 0.02 0.74 0.99
05/01/2006 -1.34 -0.63 -0.88 -0.53 -0.52 0.24
06/01/2006 -2.5 -0.64 -0.71 -0.96 -0.87 0.21
07/01/2006 -2.08 -1.91 -1.23 -0.82 -1.01 -0.33
08/01/2006 -1.89 -3.62 -1.17 -1.33 -1.01 -0.32
09/01/2006 -0.21 -1.71 -1.13 -1.1 -1.3 -0.28
10/01/2006 0.55 0.05 -1.63 -1.45 -1.01 -0.12
11/01/2006 -0.01 0 -0.78 -1.2 -1.44 -0.46
12/01/2006 0.04 0.03 -0.5 -0.96 -1.11 -0.63
01/01/2007 -0.74 -0.57 -0.67 -1.55 -1.61 -0.71
02/01/2007 0.46 -0.29 -0.35 -0.91 -1.25 -0.52
03/01/2007 1.19 0.59 0.38 -0.01 -0.45 -0.17
04/01/2007 1.7 2.11 1.17 1.11 0.19 0.62
05/01/2007 -1.12 1.44 1.03 0.83 0.2 -0.29
06/01/2007 0.9 1.11 1.14 1.07 0.68 -0.16
07/01/2007 -0.05 -0.28 1.37 0.77 0.75 -0.19
08/01/2007 0.62 0.61 1.29 1 0.84 -0.12
09/01/2007 -1.66 -0.77 0.76 0.9 0.78 -0.36
10/01/2007 -1.4 -1.71 -1.52 0.78 0.2 -0.6
11/01/2007 -0.56 -1.87 -1.14 0.23 -0.01 -0.9
12/01/2007 1.54 -0.18 -0.55 0.38 0.63 -0.3
01/01/2008 -1.48 0.04 -1.04 -1 0.56 -0.63
02/01/2008 1.15 1.27 -0.46 -0.16 0.76 -0.31
03/01/2008 -0.8 -0.33 -0.53 -0.78 0.09 -0.33
04/01/2008 -1.13 -0.7 -0.49 -1.33 -1.32 -0.83
05/01/2008 -0.12 -1.51 -0.25 -1.69 -1.24 -0.78
06/01/2008 -1.03 -1.34 -1.27 -1.62 -1.8 -0.78
07/01/2008 -0.21 -0.68 -1.11 -0.94 -1.86 -0.74
08/01/2008 -0.06 -1.07 -1.72 -0.64 -1.88 -0.69
09/01/2008 1.25 0.65 -0.9 -1.02 -1.33 -0.38
10/01/2008 1.53 1.76 0.93 0.24 0.11 0.15
11/01/2008 -1.38 0.86 0.34 -0.73 -0.06 -0.09
12/01/2008 -0.08 0.39 0.52 -0.48 -0.75 -0.09
01/01/2009 -1.53 -1.82 0.23 -0.29 -0.81 -0.18
02/01/2009 -0.71 -1.5 0.01 -0.44 -1.34 -0.36
03/01/2009 -2.23 -2.2 -1.05 -0.8 -1.48 -1.05
04/01/2009 0.21 -1.41 -2.26 -0.71 -1.02 -1.76
05/01/2009 -0.31 -1.17 -1.92 -0.99 -1.33 -1.95
06/01/2009 1.19 0.41 -0.97 -0.79 -0.58 -1.87
07/01/2009 -1.19 0.27 -0.84 -1.78 -0.65 -1.91
08/01/2009 -0.04 0.64 -0.58 -1.28 -0.61 -1.95
09/01/2009 1.81 1.25 0.81 -0.47 -0.32 -1.3
10/01/2009 -1.29 0.29 0.27 -0.86 -1.89 -1.21
11/01/2009 0.95 0.83 0.94 0.07 -0.62 -0.46
12/01/2009 -0.08 -0.02 0.44 0.53 -0.58 -0.92
01/01/2010 -0.25 0.49 0.49 0.44 -0.4 -0.82
02/01/2010 0.16 -0.36 0.52 0.62 -0.15 -1.05
03/01/2010 0.45 0.1 -0.05 0.35 0.46 -0.74
04/01/2010 0.95 0.86 0.86 0.92 0.81 -0.13
05/01/2010 0.22 0.85 0.46 1.02 1.06 -0.15
06/01/2010 0.7 0.86 0.63 0.47 0.81 0.15
07/01/2010 -1.91 0.18 0.64 0.72 0.81 0.11
08/01/2010 1.66 0.8 0.95 0.64 1.09 0.37
09/01/2010 -0.68 0.2 0.77 0.59 0.42 0.03
10/01/2010 -1.06 -0.48 -0.36 0.31 0.48 -0.92
11/01/2010 -1.95 -2.48 -1.21 -0.32 -0.56 -0.78
12/01/2010 -3 -3.27 -2.57 -0.9 -0.84 -0.98
01/01/2011 -0.26 -2.29 -2.52 -1.56 -0.9 -0.88
02/01/2011 1.3 -0.1 -1.98 -1.12 -0.39 -0.43
03/01/2011 -0.39 0.27 -1.67 -1.54 -0.62 -0.16
04/01/2011 0.14 0.38 -1 -1.42 -1.1 -0.18
05/01/2011 0.08 -0.33 -0.4 -2.08 -1.42 -0.2
06/01/2011 -0.01 -0.14 0 -1.8 -1.68 -0.59
07/01/2011 -0.51 -0.28 -0.03 -1.18 -1.68 -0.57
08/01/2011 0.66 -0.19 -0.45 -0.53 -1.93 -0.49
09/01/2011 0.84 0.37 -0.06 0.04 -1.61 -0.87
10/01/2011 0.44 0.62 0.07 0.24 -1.03 -0.4
11/01/2011 0.56 0.62 0.34 -0.03 -0.17 -0.49
12/01/2011 -0.42 0.22 0.24 -0.01 0.07 -0.54
01/01/2012 -0.17 -0.02 0.27 -0.05 0.08 -0.55
02/01/2012 -1.85 -1.51 -0.29 -0.44 -0.66 -0.78
03/01/2012 0.59 -0.34 -0.18 -0.12 -0.25 -0.72
04/01/2012 -0.22 -0.6 -0.47 -0.22 -0.41 -1.15
05/01/2012 1.52 0.98 0.07 0.45 0.2 -0.9
06/01/2012 0.85 0.99 0.46 0.48 0.49 -0.87
07/01/2012 1.43 1.61 0.87 0.61 0.87 -0.53
08/01/2012 -0.14 1 1.16 0.46 0.75 -0.8
09/01/2012 0.56 0.94 1.16 0.67 0.67 -0.66
