station_id,station_name,region_id,region_name,lat,lon,station_elevation,data,tmax_m,tmax_max,tmax_min,tmin_m,tmin_min,tmin_max,ntmin_0,rrr24,sshn,tm_m,t_03_m,t_09_m,t_15_m
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,11/1/2006 12:00:00 AM,9.54,19.8,-1.6,1.69333,-8.8,13.8,16,37.42,190.1,5.61667,3.15333,7.64667,5.12
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,12/1/2006 12:00:00 AM,2.5,11.4,-8.2,-4.35806,-13.8,2.2,28,28.9,169.9,-0.925806,-3.12258,0.445161,-1.61935
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,10/1/2006 12:00:00 AM,17.6387,25,13,5.90667,2.2,12.2,0,77.7,190.7,11.8,6.69333,16.0774,13.1355
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,11/1/2006 12:00:00 AM,7.66,17.2,-0.6,-3.86667,-12.6,9,23,26.03,192.8,1.89667,-2.92,6.02,2.74
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,12/1/2006 12:00:00 AM,0.819355,6.6,-7.6,-10.8065,-23.2,-2.8,31,20.21,149.8,-4.99355,-8.56774,-0.141935,-4.66452
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,10/1/2006 12:00:00 AM,19.3677,27.8,13.4,8.03226,2.8,14,0,31.62,166.3,13.7,8.71613,17.5871,13.5871
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,11/1/2006 12:00:00 AM,10.2267,21.2,-2,-4.08667,-19.2,12,23,19.5,164.8,3.07,-1.70667,7.3,3.91333
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,12/1/2006 12:00:00 AM,2.4,12.2,-6,-11.0839,-23.6,-4.2,31,9.54,133.9,-4.34194,-8.42581,0.774194,-3.56129
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,10/1/2006 12:00:00 AM,22.6452,31,17.4,13.8323,9.8,17.8,0,20.4,129.7,18.2387,14.2903,21.1613,19.1484
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,11/1/2006 12:00:00 AM,15.02,27.4,5,4.01379,-1,12,4,24.3,150.7,9.61379,4.87586,12.68,9.72
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,12/1/2006 12:00:00 AM,9.13548,14.6,0.8,-1.49677,-6,2,27,12.1,168.2,3.81935,-0.251613,7.18064,4.10323
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,10/1/2006 12:00:00 AM,22.2839,30.4,13.4,10.1742,6,15,0,133.6,205.7,16.229,10.9613,19.8645,17.9355
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,11/1/2006 12:00:00 AM,10.7533,19.6,2.4,1.34,-5.6,10.2,16,69.3,177.3,6.04667,2.74667,8.86667,6.22
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,12/1/2006 12:00:00 AM,3.89677,10.6,-7.4,-5.29677,-18.8,0.2,30,26.4,147.1,-0.7,-4.11613,1.57419,-0.4
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,10/1/2006 12:00:00 AM,18.2871,25.2,10.6,9.10323,6,12.8,0,38.2,158.5,13.6968,9.84516,16.5871,14.9419
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,11/1/2006 12:00:00 AM,9.84,19,3,0.36,-6.8,8.8,15,5.13,195.5,5.10333,1.93333,7.78,5.66
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,12/1/2006 12:00:00 AM,0.658064,5.8,-7.5,-9.70968,-18.6,-4,31,15.62,167.2,-4.53226,-8.43871,-1.84516,-4.62581
40712,Orumiyeh,OITR,Azarbayjan-e-Gharbi,37.658,45.056,1328,10/1/2006 12:00:00 AM,20.6,27.8,10,7.10968,3.6,11.4,0,117.94,192,13.8548,8.6,18.4581,14.9677
40712,Orumiyeh,OITR,Azarbayjan-e-Gharbi,37.658,45.056,1328,11/1/2006 12:00:00 AM,10.5333,19,2.2,-1.62667,-8.2,8.8,22,71.51,199.4,4.45333,-1.58946E-08,8.82667,4.22
40712,Orumiyeh,OITR,Azarbayjan-e-Gharbi,37.658,45.056,1328,12/1/2006 12:00:00 AM,3.6,7,-4,-6.9871,-15.8,-1.2,31,14.93,176.1,-1.69355,-6.08387,2.20645,-2.34839
40704,Ahar,OITT,Azarbayjan-e-Sharghi,38.433,47.067,1391,10/1/2006 12:00:00 AM,20.1548,27.8,12.2,9.46452,6.2,13,0,30.97,183.1,14.8097,10.1677,17.9548,16.1419
40704,Ahar,OITT,Azarbayjan-e-Sharghi,38.433,47.067,1391,11/1/2006 12:00:00 AM,10.21,20.4,0.2,-0.206667,-9,12,20,20.83,207.7,5,1.69333,8.22667,5.42667
40704,Ahar,OITT,Azarbayjan-e-Sharghi,38.433,47.067,1391,12/1/2006 12:00:00 AM,3.45484,10.8,-7.6,-6.78065,-14.8,0.2,30,12.98,175,-1.66452,-4.87742,1.60645,-2.05161
40710,Sarab,OITT,Azarbayjan-e-Sharghi,37.935,47.508,1682,10/1/2006 12:00:00 AM,18.3677,25.4,11.2,5.43226,1.2,12.8,0,52.75,187.8,11.9,6.05161,16.6194,13.8129
40710,Sarab,OITT,Azarbayjan-e-Sharghi,37.935,47.508,1682,11/1/2006 12:00:00 AM,7.60667,17.4,-1.8,-3.56667,-12.2,10,23,18.21,173.9,2.02,-2.29333,5.74667,2.51333
40710,Sarab,OITT,Azarbayjan-e-Sharghi,37.935,47.508,1682,12/1/2006 12:00:00 AM,0.883871,6.4,-11,-12.0194,-25.2,-3.4,31,5.66,166.2,-5.56774,-10.4129,-0.935484,-4.85806
40716,Mianeh,OITT,Azarbayjan-e-Sharghi,37.421,47.732,1110,10/1/2006 12:00:00 AM,22.6065,31.4,12.8,11.271,8.2,16.4,0,72.94,198.1,16.9387,11.5355,19.8194,19.2452
40716,Mianeh,OITT,Azarbayjan-e-Sharghi,37.421,47.732,1110,11/1/2006 12:00:00 AM,12.44,21.6,5.6,0.9,-5,11.4,17,10.6,205.2,6.67,1.47333,9.39333,8.43333
40716,Mianeh,OITT,Azarbayjan-e-Sharghi,37.421,47.732,1110,12/1/2006 12:00:00 AM,1.54839,8.4,-14,-7.05161,-23,-0.2,31,33.13,137.5,-2.75161,-5.95484,-0.616129,-1.89355
40713,Maragheh-synoptic,OITT,Azarbayjan-e-Sharghi,37.348,46.146,1344,10/1/2006 12:00:00 AM,21.5548,28.8,11.6,10.6467,5.6,17.2,0,94.85,209.2,16.1333,11.5548,19.3194,17.6
40713,Maragheh-synoptic,OITT,Azarbayjan-e-Sharghi,37.348,46.146,1344,11/1/2006 12:00:00 AM,10.2067,19.6,1.8,0.965517,-5.4,10.2,16,32.94,181.2,5.63448,1.88667,8.08667,5.67333
40713,Maragheh-synoptic,OITT,Azarbayjan-e-Sharghi,37.348,46.146,1344,12/1/2006 12:00:00 AM,4.07097,9,-6.4,-5.51613,-18.4,-0.4,31,8.23,170,-0.722581,-4.54839,1.92258,-0.748387
40706,Tabriz,OITT,Azarbayjan-e-Sharghi,38.122,46.234,1361,10/1/2006 12:00:00 AM,21.5226,27.6,11.2,9.76129,6,16,0,68.68,198.6,15.6419,10.4645,19.4258,17.6032
40706,Tabriz,OITT,Azarbayjan-e-Sharghi,38.122,46.234,1361,11/1/2006 12:00:00 AM,9.94667,20.6,2.8,0.0633333,-5.6,9.8,20,26.82,191.9,5.01,0.91,7.76667,5.08333
40706,Tabriz,OITT,Azarbayjan-e-Sharghi,38.122,46.234,1361,12/1/2006 12:00:00 AM,3.7129,7.8,-5,-6.47586,-14.8,-2.8,29,5.84,182.6,-1.44138,-5.06452,2.1871,-1.44194
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,1/1/2007 12:00:00 AM,4.60645,14,-4.2,-5.96129,-17.6,3.4,28,13.04,188.7,-0.677419,-3.47742,2.98065,1.44205E-08
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,2/1/2007 12:00:00 AM,6.19286,14.4,-6,-4.28571,-15,2.8,24,26.85,169.3,0.953571,-2.55,3.35714,1.74286
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,3/1/2007 12:00:00 AM,7.54194,16,0.4,-1.76129,-9.6,6.8,24,57.5,150.3,2.89032,-0.632258,5.94839,3.12903
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,1/1/2007 12:00:00 AM,4.36774,13,-2.8,-3.12258,-9.6,5.4,24,4.7,178.6,0.622581,-1.94194,1.79355,-0.00645162
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,2/1/2007 12:00:00 AM,5.56429,12,-6.6,-3.02857,-11,2.8,22,22.63,157.5,1.26786,-1.61429,2.50714,1.8
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,3/1/2007 12:00:00 AM,6.28387,12.6,-2.6,-1.15484,-5.8,4,21,64.02,131.6,2.56452,-0.116129,3.75484,3.59355
