date,spi,rainfall,spi_deseason,seasonal,spi_lag_1,spi_lag_2,spi_lag_3,spi_lag_4,spi_lag_5,spi_lag_6,spi_lag_7,spi_lag_8,spi_lag_9,spi_lag_10,spi_lag_11,spi_lag_12
1991-03-01,1.1167453937453204,72.52,0.9589939139034581,0.15775147984186236,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547,0.2736315457229411,0.4693565251624091,1.489867262896211,1.0066499475208126,0.8127011194675042,-0.34354248380365965
1991-04-01,1.0838442453931534,15.83,0.7387301809465276,0.34511406444662573,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547,0.2736315457229411,0.4693565251624091,1.489867262896211,1.0066499475208126,0.8127011194675042
1991-05-01,1.7448762087468792,67.21,1.1713343476258289,0.5735418611210503,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547,0.2736315457229411,0.4693565251624091,1.489867262896211,1.0066499475208126
1991-06-01,0.7789933363358275,11.42,0.4167440752763983,0.3622492610594292,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547,0.2736315457229411,0.4693565251624091,1.489867262896211
1991-07-01,0.9913662802714924,27.63,1.1583536905494098,-0.1669874102779174,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547,0.2736315457229411,0.4693565251624091
1991-08-01,-0.5235787831330369,1.43,0.5680646121081375,-1.0916433952411744,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547,0.2736315457229411
1991-09-01,-0.7487718739342524,5.0,0.18151078502589868,-0.930282658960151,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155,-2.2237110290837547
1991-10-01,-1.1045150285021368,19.01,-1.1430279518391453,0.038512923337008564,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141,-0.36030262497770155
1991-11-01,0.2971836372719638,46.92,-0.20399020590687372,0.5011738431788375,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608,-0.5726700909061141
1991-12-01,0.4464545632810517,11.82,0.09766722656259375,0.34878733671845796,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783,-0.04214295187656608
1992-01-01,0.0951576042142455,3.61,0.11363852860561717,-0.01848092439137167,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192,-0.428298697900783
1992-02-01,-0.8767940236672681,15.32,-0.7570576428346111,-0.11973638083265702,0.11363852860561717,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581,0.07039212206087192
1992-03-01,-1.2272820513755465,3.94,-1.385033531217409,0.15775147984186236,-0.7570576428346111,0.11363852860561717,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276,0.9589939139034581
1992-04-01,-0.2918633356688108,28.66,-0.6369774001154365,0.34511406444662573,-1.385033531217409,-0.7570576428346111,0.11363852860561717,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289,0.7387301809465276
1992-05-01,0.0340761672707478,27.3,-0.5394656938503025,0.5735418611210503,-0.6369774001154365,-1.385033531217409,-0.7570576428346111,0.11363852860561717,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983,1.1713343476258289
1992-06-01,0.5095903099400773,24.8,0.14734104888064808,0.3622492610594292,-0.5394656938503025,-0.6369774001154365,-1.385033531217409,-0.7570576428346111,0.11363852860561717,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098,0.4167440752763983
1992-07-01,0.483352947218884,27.4,0.6503403574968014,-0.1669874102779174,0.14734104888064808,-0.5394656938503025,-0.6369774001154365,-1.385033531217409,-0.7570576428346111,0.11363852860561717,0.09766722656259375,-0.20399020590687372,-1.1430279518391453,0.18151078502589868,0.5680646121081375,1.1583536905494098
