ds,precip,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24,station_id
1990-01-01,29.9,0.6301940057905178,,,,,,40700
1990-02-01,11.9,-0.22665806743416667,,,,,,40700
1990-03-01,9.82,-0.3738842260665225,-0.18579100396179737,,,,,40700
1990-04-01,94.42,2.2014273933921746,1.15781518391413,,,,,40700
1990-05-01,39.53,0.95037371604212,1.580191808641863,,,,,40700
1990-06-01,29.6,0.6192327681886954,1.8521165239556403,1.5422398504897918,,,,40700
1990-07-01,2.03,-1.279030541400263,0.30236911488449175,1.1085194584643008,,,,40700
1990-08-01,0.61,-1.6710534974944367,-0.8180118495182332,0.9209296210905098,,,,40700
1990-09-01,0.0,-1.9820509324231737,-3.1539936880439057,0.751283379400298,0.4022115058890943,,,40700
1990-10-01,46.3,1.1470328955848494,-0.321789701640693,-0.19306727812412225,0.6509549147345086,,,40700
1990-11-01,9.52,-0.39679099545640634,-0.07149624772727665,-0.9230737619158177,0.6155847498168967,,,40700
1990-12-01,15.53,-0.006322332408285166,0.3066443848418919,-1.3258684442144115,0.700048877495827,0.43403479355367747,,40700
1991-01-01,17.8,0.11452880695186594,-0.44677962229215473,-0.8775076132113176,-0.5724055259457188,0.26031924018697583,,40700
1991-02-01,23.33,0.3717131269249567,-0.04934425877178514,-0.31857946369932677,-0.8919553876769051,0.42454319443267763,,40700
1991-03-01,72.52,1.7755228937003522,1.1167453937453204,1.0709115154527424,-0.08998215592477579,1.2565566070669836,,40700
1991-04-01,15.83,0.010289211729137647,1.0838442453931534,0.541097855693476,0.14123250659338366,0.19501910078642976,,40700
1991-05-01,67.21,1.6610266958323772,1.7448762087468792,1.4981078948397335,1.13004590509523,0.5894863595490591,,40700
1991-06-01,11.42,-0.2590079472828217,0.7789933363358275,1.4359616583022237,1.2828149670936313,0.3332763427316803,,40700
1991-07-01,27.63,0.5454305661160159,0.9913662802714923,1.583327677051179,1.0308524770008718,0.6911112443813104,,40700
1991-08-01,1.43,-1.4173364518377662,-0.5235787831330369,1.2487640805799956,0.918020622048407,0.7022425540020363,,40700
1991-09-01,5.0,-0.8225560599312696,-0.7487718739342524,0.03123445530477591,0.7675630625501765,0.7696985804740943,,40700
1991-10-01,19.01,0.17484100061110108,-1.1045150285021368,0.09705426621893552,0.7850673496239603,0.39241868624688403,,40700
1991-11-01,46.92,1.16412686645868,0.29718363727196384,-0.3430820895923885,1.1155170903175593,0.9039648580991267,,40700
1991-12-01,11.82,-0.2319885830477044,0.4464545632810517,-0.3339036685928409,0.21965574271677782,0.8550182089398007,0.8262469141711265,40700
1992-01-01,3.61,-1.0050162050148932,0.09515760421424559,-0.9303664600688935,0.018780554975433763,0.6642888740813104,0.5811347812837677,40700
1992-02-01,15.32,-0.018076819151719645,-0.8767940236672681,-0.5735866626264932,-0.9446577049662295,0.5540404141241247,0.6134286373028831,40700
1992-03-01,3.94,-0.9580397069191072,-1.2272820513755465,-0.5995919052410441,-1.1024797230959755,-0.4822150368615237,0.5578282856251626,40700
1992-04-01,28.66,0.5844219437060116,-0.29186333566881084,-0.3693636007593534,-1.0803953789729743,-0.2739230428482419,-0.09112922808900151,40700
1992-05-01,27.3,0.5327418771310727,0.034076167270747845,-0.853889340879535,-0.5598608153608895,-0.949257783330935,-0.21783383044010715,40700
1992-06-01,24.8,0.4332575722855602,0.5095903099400773,-0.5262256909312736,-0.1986300738374224,-0.7135157827461585,-0.2681267872613571,40700
1992-07-01,27.4,0.5365972559735613,0.48335294721888405,0.008213327770593174,-0.05356893738794751,-0.7174828550137251,-0.005875842414711204,40700
1992-08-01,15.4,-0.013586451123934421,0.22082152453627252,0.009892065446229194,-0.6235141635222534,-0.4815535806146062,0.1431065742840915,40700
1992-09-01,19.84,0.21477336337951644,0.10228019970403746,0.33048502064575475,-0.47170303431565586,-0.2413352211769741,0.3387341492306504,40700
1992-10-01,30.85,0.664449645446373,0.18536751473186974,0.3727589728310805,0.009711553622651829,-0.05662575172958397,0.18680153066761734,40700
1992-11-01,41.82,1.0190852214941566,0.7422737383681799,0.6429372105678008,0.4362821238702653,-0.13547058098430909,0.50128082040379,40700
