station_id,ds,precip,tm_m,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24
40708,01/01/1990,50.0,-9.784,1.6666865696420825,,,,,
40708,02/01/1990,31.3,-4.8619,0.7194657991700549,,,,,
40708,03/01/1990,47.12,2.56552,0.7796938468947834,1.3269388285592496,,,,
40708,04/01/1990,51.61,7.64483,0.709419301363792,1.1169348919376008,,,,
40708,05/01/1990,8.7,11.7621,-2.209774740939361,-0.038958598786034256,,,,
40708,06/01/1990,4.2,16.78,-0.472020051663474,-0.7421479797917127,0.4989098170816198,,,
40708,07/01/1990,0.44,17.3935,-0.9474822901849564,-2.168153447313795,-0.22692407020187094,,,
40708,08/01/1990,1.21,15.9828,-0.2843785631645058,-1.076844499581291,-0.500474238545516,,,
40708,09/01/1990,0.8,15.8833,-0.8667276037734393,-2.005064849078105,-1.2679476521740114,0.11323122155043693,,
40708,10/01/1990,33.51,10.4964,0.4715107175645645,-0.11556851898837563,-1.956202706087433,-0.4817348194967905,,
40708,11/01/1990,4.02,7.86786,-1.3826174680964916,-0.7912209456805853,-1.4479953588143406,-1.2042805623915598,,
40708,12/01/1990,35.6,-1.16538,0.9690928083981585,-0.04946700789409679,-0.6275650639693019,-1.1305683570531357,-0.054305482173712574,
40708,01/01/1991,15.82,-7.6125,-0.4545913161927774,-0.49396685320332084,-0.7309275037124272,-1.6804598229054637,-0.7902809057749096,
40708,02/01/1991,22.12,-3.455,0.16127822601969768,0.3953479486160105,-0.5764526563068016,-0.9537122552978158,-0.9039868596966967,
40708,03/01/1991,93.8,2.73704,2.3363416945071673,1.398381446626373,1.0165551822715984,0.6066803013418813,0.045089798839737086,
40708,04/01/1991,12.71,10.0179,-1.2631543297274066,1.0795893410927262,0.39542610362136904,0.22291391967837562,-0.687886799151425,
40708,05/01/1991,53.7,12.0448,0.8272214447506341,1.381843771359825,1.3233738543889613,0.5993166977185317,0.1110266657531449,
40708,06/01/1991,13.2,14.9862,0.3116502308848833,-0.23366200215252736,0.8457379932097409,0.6867254630534146,0.28446569172504993,
