station_name,year,month_num,monthly_class
Ahar,2002,6,Aw - Tropical savanna
Ahar,2002,7,Aw - Tropical savanna
Ahar,2002,8,Aw - Tropical savanna
Ahar,2002,9,Aw - Tropical savanna
Ahar,2002,10,BWh - Hot desert
Ahar,2002,11,Cfa - Humid subtropical
Ahar,2002,12,Dfb - Cold humid
Ahar,2003,1,BWk - Cold desert
Ahar,2003,2,Dfb - Cold humid
Ahar,2003,3,Cfa - Humid subtropical
Ahar,2003,4,Cfa - Humid subtropical
Ahar,2003,5,Cfa - Humid subtropical
Ahar,2003,6,Cfa - Humid subtropical
Ahar,2003,7,Aw - Tropical savanna
Ahar,2003,8,Aw - Tropical savanna
Ahar,2003,9,BWh - Hot desert
Ahar,2003,10,BWh - Hot desert
Ahar,2003,11,BWk - Cold desert
Ahar,2003,12,BWk - Cold desert
Ahar,2004,1,BWk - Cold desert
Ahar,2004,2,BWk - Cold desert
Ahar,2004,3,Dfb - Cold humid
Ahar,2004,4,Cfa - Humid subtropical
Ahar,2004,5,Cfa - Humid subtropical
Ahar,2004,6,Aw - Tropical savanna
Ahar,2004,7,Aw - Tropical savanna
Ahar,2004,8,Aw - Tropical savanna
Ahar,2004,9,Aw - Tropical savanna
Ahar,2004,10,BWh - Hot desert
Ahar,2004,11,Cfa - Humid subtropical
Ahar,2004,12,ET - Tundra
Ahar,2005,1,ET - Tundra
Ahar,2005,2,ET - Tundra
Ahar,2005,3,BWk - Cold desert
Ahar,2005,4,Cfa - Humid subtropical
Ahar,2005,5,Cfa - Humid subtropical
Ahar,2005,6,Aw - Tropical savanna
Ahar,2005,7,Aw - Tropical savanna
Ahar,2005,8,Aw - Tropical savanna
Ahar,2005,9,Aw - Tropical savanna
Ahar,2005,10,BWh - Hot desert
Ahar,2005,11,Dfb - Cold humid
Ahar,2005,12,BWk - Cold desert
Ahar,2006,1,Dfb - Cold humid
Ahar,2006,2,Cfa - Humid subtropical
Ahar,2006,3,Dfb - Cold humid
Ahar,2006,4,Cfa - Humid subtropical
Ahar,2006,5,Cfa - Humid subtropical
Ahar,2006,6,Aw - Tropical savanna
Ahar,2006,7,Aw - Tropical savanna
Ahar,2006,8,Aw - Tropical savanna
Ahar,2006,9,Aw - Tropical savanna
Ahar,2006,10,Cfa - Humid subtropical
Ahar,2006,11,Dfb - Cold humid
Ahar,2006,12,ET - Tundra
Ahar,2007,1,ET - Tundra
Ahar,2007,2,Dfb - Cold humid
Ahar,2007,3,Cfa - Humid subtropical
Ahar,2007,4,Cfa - Humid subtropical
Ahar,2007,5,Cfa - Humid subtropical
Ahar,2007,6,Aw - Tropical savanna
Ahar,2007,7,Aw - Tropical savanna
Ahar,2007,8,Aw - Tropical savanna
Ahar,2007,9,Aw - Tropical savanna
Ahar,2007,10,BWh - Hot desert
Ahar,2007,11,Dfb - Cold humid
Ahar,2007,12,Dfb - Cold humid
Ahar,2008,1,ET - Tundra
Ahar,2008,2,ET - Tundra
Ahar,2008,3,BWh - Hot desert
Ahar,2008,4,BWh - Hot desert
Ahar,2008,5,Cfa - Humid subtropical
Ahar,2008,6,Aw - Tropical savanna
Ahar,2008,7,Aw - Tropical savanna
Ahar,2008,8,Aw - Tropical savanna
Ahar,2008,9,Aw - Tropical savanna
Ahar,2008,10,Cfa - Humid subtropical
Ahar,2008,11,BWk - Cold desert
Ahar,2008,12,BWk - Cold desert
Ahar,2009,1,ET - Tundra
