station_name,year,yearly_class
Mahabad,2012,Cfa - Humid subtropical
Mahabad,2013,Cfa - Humid subtropical
Mahabad,2014,Cfa - Humid subtropical
Mahabad,2015,Aw - Tropical savanna
Mahabad,2016,Aw - Tropical savanna
Mahabad,2017,Aw - Tropical savanna
Mahabad,2018,Cfa - Humid subtropical
Mahabad,2019,Cfa - Humid subtropical
Mahabad,2020,Aw - Tropical savanna
Mahabad,2021,Aw - Tropical savanna
Mahabad,2022,Cfa - Humid subtropical
Mahabad,2023,Cfa - Humid subtropical
Mahabad,2024,Cfa - Humid subtropical
Maku,1990,Aw - Tropical savanna
Maku,1991,Aw - Tropical savanna
Maku,1992,Cfa - Humid subtropical
Maku,1993,Cfa - Humid subtropical
Maku,1994,Cfa - Humid subtropical
Maku,1995,Aw - Tropical savanna
Maku,1996,Aw - Tropical savanna
Maku,1997,ET - Tundra
Maku,1998,Aw - Tropical savanna
Maku,1999,Aw - Tropical savanna
Maku,2000,Aw - Tropical savanna
Maku,2001,Aw - Tropical savanna
Maku,2002,Aw - Tropical savanna
Maku,2003,Cfa - Humid subtropical
Maku,2004,Aw - Tropical savanna
Maku,2005,Aw - Tropical savanna
Maku,2006,Aw - Tropical savanna
Maku,2007,Cfa - Humid subtropical
Maku,2008,Aw - Tropical savanna
Maku,2009,Cfa - Humid subtropical
Maku,2010,Cfa - Humid subtropical
Maku,2011,Aw - Tropical savanna
Maku,2012,Cfa - Humid subtropical
Maku,2013,Aw - Tropical savanna
Maku,2014,Aw - Tropical savanna
Maku,2015,Aw - Tropical savanna
Maku,2016,Aw - Tropical savanna
Maku,2017,Cfa - Humid subtropical
Maku,2018,Cfa - Humid subtropical
Maku,2019,Aw - Tropical savanna
Maku,2020,Aw - Tropical savanna
Maku,2021,Aw - Tropical savanna
Maku,2022,Aw - Tropical savanna
Maku,2023,Cfa - Humid subtropical
Maku,2024,Cfa - Humid subtropical
Maragheh-synoptic,1990,Aw - Tropical savanna
Maragheh-synoptic,1991,Aw - Tropical savanna
Maragheh-synoptic,1992,Cfa - Humid subtropical
Maragheh-synoptic,1993,Cfa - Humid subtropical
Maragheh-synoptic,1994,Cfa - Humid subtropical
Maragheh-synoptic,1995,Cfa - Humid subtropical
Maragheh-synoptic,1996,Cfa - Humid subtropical
Maragheh-synoptic,1997,Cfa - Humid subtropical
Maragheh-synoptic,1998,Aw - Tropical savanna
Maragheh-synoptic,1999,Aw - Tropical savanna
Maragheh-synoptic,2000,Aw - Tropical savanna
Maragheh-synoptic,2001,Aw - Tropical savanna
Maragheh-synoptic,2002,Cfa - Humid subtropical
Maragheh-synoptic,2003,Cfa - Humid subtropical
Maragheh-synoptic,2004,Cfa - Humid subtropical
Maragheh-synoptic,2005,Aw - Tropical savanna
Maragheh-synoptic,2006,Cfa - Humid subtropical
Maragheh-synoptic,2007,Aw - Tropical savanna
Maragheh-synoptic,2008,Aw - Tropical savanna
Maragheh-synoptic,2009,Aw - Tropical savanna
Maragheh-synoptic,2010,Aw - Tropical savanna
Maragheh-synoptic,2011,Aw - Tropical savanna
Maragheh-synoptic,2012,Aw - Tropical savanna
Maragheh-synoptic,2013,Aw - Tropical savanna
Maragheh-synoptic,2014,Aw - Tropical savanna
Maragheh-synoptic,2015,Aw - Tropical savanna
Maragheh-synoptic,2016,Aw - Tropical savanna
Maragheh-synoptic,2017,Aw - Tropical savanna
Maragheh-synoptic,2018,Cfa - Humid subtropical
Maragheh-synoptic,2019,Aw - Tropical savanna
Maragheh-synoptic,2020,Aw - Tropical savanna
Maragheh-synoptic,2021,Aw - Tropical savanna
Maragheh-synoptic,2022,Aw - Tropical savanna
Maragheh-synoptic,2023,Aw - Tropical savanna
Maragheh-synoptic,2024,Dfb - Cold humid
Meshkinshahr,1995,Aw - Tropical savanna
Meshkinshahr,1996,Cfa - Humid subtropical
Meshkinshahr,1997,Cfa - Humid subtropical
Meshkinshahr,1998,Dfb - Cold humid
Meshkinshahr,1999,Cfa - Humid subtropical
Meshkinshahr,2000,Cfa - Humid subtropical
Meshkinshahr,2001,Cfa - Humid subtropical
Meshkinshahr,2002,Aw - Tropical savanna
Meshkinshahr,2003,Cfa - Humid subtropical
Meshkinshahr,2004,Dfb - Cold humid
Meshkinshahr,2005,Cfa - Humid subtropical
Meshkinshahr,2006,Dfb - Cold humid
Meshkinshahr,2007,Dfb - Cold humid
Meshkinshahr,2008,Aw - Tropical savanna
Meshkinshahr,2009,Cfa - Humid subtropical
Meshkinshahr,2010,Cfa - Humid subtropical
Meshkinshahr,2011,Cfa - Humid subtropical
Meshkinshahr,2012,Cfa - Humid subtropical
Meshkinshahr,2013,Cfa - Humid subtropical
Meshkinshahr,2014,Cfa - Humid subtropical
Meshkinshahr,2015,Cfa - Humid subtropical
Meshkinshahr,2016,Cfa - Humid subtropical
Meshkinshahr,2017,Aw - Tropical savanna
Meshkinshahr,2018,Cfa - Humid subtropical
Meshkinshahr,2019,Cfa - Humid subtropical
Meshkinshahr,2020,Cfa - Humid subtropical
Meshkinshahr,2021,Dfb - Cold humid
Meshkinshahr,2022,Cfa - Humid subtropical
Meshkinshahr,2023,Cfa - Humid subtropical
Meshkinshahr,2024,Cfa - Humid subtropical
Mianeh,1990,Aw - Tropical savanna
Mianeh,1991,Aw - Tropical savanna
Mianeh,1992,Aw - Tropical savanna
Mianeh,1993,Cfa - Humid subtropical
Mianeh,1994,Cfa - Humid subtropical
Mianeh,1995,Aw - Tropical savanna
Mianeh,1996,Aw - Tropical savanna
Mianeh,1997,Aw - Tropical savanna
Mianeh,1998,Aw - Tropical savanna
Mianeh,1999,Aw - Tropical savanna
Mianeh,2000,Aw - Tropical savanna
Mianeh,2001,Aw - Tropical savanna
Mianeh,2002,Aw - Tropical savanna
Mianeh,2003,Aw - Tropical savanna
Mianeh,2004,Cfa - Humid subtropical
Mianeh,2005,Aw - Tropical savanna
Mianeh,2006,Aw - Tropical savanna
Mianeh,2007,Aw - Tropical savanna
Mianeh,2008,Aw - Tropical savanna
Mianeh,2009,Aw - Tropical savanna
Mianeh,2010,Aw - Tropical savanna
Mianeh,2011,Aw - Tropical savanna
Mianeh,2012,Aw - Tropical savanna
Mianeh,2013,Aw - Tropical savanna
Mianeh,2014,Aw - Tropical savanna
Mianeh,2015,Aw - Tropical savanna
Mianeh,2016,Aw - Tropical savanna
Mianeh,2017,Aw - Tropical savanna
Mianeh,2018,Aw - Tropical savanna
Mianeh,2019,Cfa - Humid subtropical
Mianeh,2020,Aw - Tropical savanna
Mianeh,2021,Aw - Tropical savanna
Mianeh,2022,Aw - Tropical savanna
Mianeh,2023,Aw - Tropical savanna
Mianeh,2024,Dfb - Cold humid
Orumiyeh,1990,Aw - Tropical savanna
Orumiyeh,1991,Aw - Tropical savanna
Orumiyeh,1992,Cfa - Humid subtropical
Orumiyeh,1993,Cfa - Humid subtropical
Orumiyeh,1994,Cfa - Humid subtropical
Orumiyeh,1995,Aw - Tropical savanna
Orumiyeh,1996,Cfa - Humid subtropical
Orumiyeh,1997,BWh - Hot desert
Orumiyeh,1998,Aw - Tropical savanna
Orumiyeh,1999,Aw - Tropical savanna
Orumiyeh,2000,Aw - Tropical savanna
Orumiyeh,2001,Aw - Tropical savanna
Orumiyeh,2002,Cfa - Humid subtropical
Orumiyeh,2003,Aw - Tropical savanna
Orumiyeh,2004,Aw - Tropical savanna
Orumiyeh,2005,Aw - Tropical savanna
Orumiyeh,2006,Cfa - Humid subtropical
Orumiyeh,2007,Aw - Tropical savanna
Orumiyeh,2008,Aw - Tropical savanna
Orumiyeh,2009,Dfb - Cold humid
Orumiyeh,2010,Aw - Tropical savanna
Orumiyeh,2011,Cfa - Humid subtropical
Orumiyeh,2012,Aw - Tropical savanna
Orumiyeh,2013,Aw - Tropical savanna
Orumiyeh,2014,Aw - Tropical savanna
Orumiyeh,2015,Cfa - Humid subtropical
Orumiyeh,2016,Aw - Tropical savanna
Orumiyeh,2017,Aw - Tropical savanna
Orumiyeh,2018,Cfa - Humid subtropical
Orumiyeh,2019,Cfa - Humid subtropical
Orumiyeh,2020,Cfa - Humid subtropical
Orumiyeh,2021,Aw - Tropical savanna
Orumiyeh,2022,Dfb - Cold humid
Orumiyeh,2023,Aw - Tropical savanna
Orumiyeh,2024,Cfa - Humid subtropical
Parsabad,1990,Aw - Tropical savanna
Parsabad,1991,Aw - Tropical savanna
Parsabad,1992,Aw - Tropical savanna
Parsabad,1993,Aw - Tropical savanna
Parsabad,1994,Aw - Tropical savanna
Parsabad,1995,Aw - Tropical savanna
Parsabad,1996,Aw - Tropical savanna
Parsabad,1997,Aw - Tropical savanna
Parsabad,1998,Aw - Tropical savanna
Parsabad,1999,Aw - Tropical savanna
Parsabad,2000,Aw - Tropical savanna
Parsabad,2001,Aw - Tropical savanna
Parsabad,2002,Aw - Tropical savanna
Parsabad,2003,Aw - Tropical savanna
Parsabad,2004,Aw - Tropical savanna
Parsabad,2005,Aw - Tropical savanna
Parsabad,2006,Aw - Tropical savanna
Parsabad,2007,Aw - Tropical savanna
Parsabad,2008,Aw - Tropical savanna
Parsabad,2009,Aw - Tropical savanna
Parsabad,2010,Aw - Tropical savanna
Parsabad,2011,Aw - Tropical savanna
Parsabad,2012,Aw - Tropical savanna
Parsabad,2013,Aw - Tropical savanna
Parsabad,2014,Aw - Tropical savanna
Parsabad,2015,Aw - Tropical savanna
Parsabad,2016,Aw - Tropical savanna
Parsabad,2017,Aw - Tropical savanna
Parsabad,2018,Aw - Tropical savanna
Parsabad,2019,Aw - Tropical savanna
Parsabad,2020,Aw - Tropical savanna
Parsabad,2021,Aw - Tropical savanna
Parsabad,2022,Aw - Tropical savanna
Parsabad,2023,Aw - Tropical savanna
Parsabad,2024,Cfa - Humid subtropical
Sarab,1990,ET - Tundra
Sarab,1991,Cfa - Humid subtropical
Sarab,1992,ET - Tundra
Sarab,1993,ET - Tundra
Sarab,1994,Dfb - Cold humid
Sarab,1995,Cfa - Humid subtropical
Sarab,1996,Cfa - Humid subtropical
Sarab,1997,ET - Tundra
Sarab,1998,Aw - Tropical savanna
Sarab,1999,Dfb - Cold humid
Sarab,2000,BWh - Hot desert
Sarab,2001,BWh - Hot desert
Sarab,2002,ET - Tundra
Sarab,2003,BWh - Hot desert
Sarab,2004,Cfa - Humid subtropical
Sarab,2005,BWh - Hot desert
Sarab,2006,Cfa - Humid subtropical
Sarab,2007,ET - Tundra
