"40712"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"01/01/1991", "03/01/1991", "2", "-3.02", "-3.08", "-1.54", "-1.54"
"10/01/1992", "11/01/1992", "1", "-1.89", "-1.89", "-1.89", "-1.89"
"10/01/1998", "12/01/1998", "2", "-1.79", "-3.58", "-1.79", "-1.79"
"12/01/1999", "01/01/2000", "1", "-1.71", "-1.71", "-1.71", "-1.71"
"05/01/2000", "06/01/2000", "1", "-2.23", "-2.23", "-2.23", "-2.23"
"03/01/2005", "05/01/2005", "2", "-2.29", "-3.17", "-1.59", "-1.59"
"03/01/2008", "06/01/2008", "3", "-1.85", "-4.55", "-1.52", "-1.58"
"02/01/2009", "03/01/2009", "1", "-1.55", "-1.55", "-1.55", "-1.55"
"05/01/2009", "06/01/2009", "1", "-1.83", "-1.83", "-1.83", "-1.83"
"11/01/2010", "01/01/2011", "2", "-1.89", "-2.44", "-1.22", "-1.22"
"02/01/2012", "06/01/2012", "4", "-1.71", "-3.39", "-0.85", "-0.71"
"02/01/2014", "03/01/2014", "1", "-2.98", "-2.98", "-2.98", "-2.98"
"01/01/2015", "02/01/2015", "1", "-2", "-2", "-2", "-2"
"04/01/2015", "05/01/2015", "1", "-2.23", "-2.23", "-2.23", "-2.23"
"01/01/2017", "02/01/2017", "1", "-1.71", "-1.71", "-1.71", "-1.71"
"06/01/2017", "08/01/2017", "2", "-1.57", "-1.82", "-0.91", "-0.91"
"11/01/2019", "12/01/2019", "1", "-1.71", "-1.71", "-1.71", "-1.71"
"10/01/2020", "11/01/2020", "1", "-1.58", "-1.58", "-1.58", "-1.58"
"04/01/2021", "07/01/2021", "3", "-1.57", "-4.03", "-1.34", "-1.52"
"12/01/2023", "01/01/2024", "1", "-1.85", "-1.85", "-1.85", "-1.85"
