"88107"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"05/01/2006", "10/01/2006", "5", "-1.8", "-6.7", "-1.34", "-1.65"
"09/01/2007", "12/01/2007", "3", "-1.72", "-3.9", "-1.3", "-1.12"
"04/01/2008", "08/01/2008", "4", "-1.7", "-2.94", "-0.74", "-0.48"
"03/01/2009", "05/01/2009", "2", "-1.68", "-1.91", "-0.96", "-0.96"
"10/01/2009", "11/01/2009", "1", "-2.09", "-2.09", "-2.09", "-2.09"
"07/01/2010", "08/01/2010", "1", "-1.97", "-1.97", "-1.97", "-1.97"
"11/01/2010", "02/01/2011", "3", "-3.28", "-5.5", "-1.83", "-2.04"
"10/01/2012", "11/01/2012", "1", "-2.05", "-2.05", "-2.05", "-2.05"
"04/01/2015", "07/01/2015", "3", "-1.96", "-2.84", "-0.95", "-0.6"
"01/01/2017", "07/01/2017", "6", "-1.72", "-4.48", "-0.75", "-0.81"
"06/01/2021", "07/01/2021", "1", "-2.21", "-2.21", "-2.21", "-2.21"
