"40717"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "1.96"
"-2.5", "4", "0.97", "3.92"
"-2.4", "1", "0.24", "5.88"
"-2.3", "3", "0.73", "7.84"
"-2.2", "1", "0.24", "9.8"
"-2.1", "1", "0.24", "11.76"
"-2", "2", "0.49", "13.73"
"-1.9", "3", "0.73", "15.69"
"-1.8", "4", "0.97", "17.65"
"-1.7", "6", "1.46", "19.61"
"-1.6", "1", "0.24", "21.57"
"-1.5", "3", "0.73", "23.53"
"-1.4", "9", "2.18", "25.49"
"-1.3", "11", "2.67", "27.45"
"-1.2", "9", "2.18", "29.41"
"-1.1", "6", "1.46", "31.37"
"-1", "9", "2.18", "33.33"
"-0.9", "10", "2.43", "35.29"
"-0.8", "7", "1.7", "37.25"
"-0.7", "8", "1.94", "39.22"
"-0.6", "13", "3.16", "41.18"
"-0.5", "20", "4.85", "43.14"
"-0.4", "12", "2.91", "45.1"
"-0.3", "16", "3.88", "47.06"
"-0.2", "12", "2.91", "49.02"
"-0.1", "16", "3.88", "50.98"
"0", "14", "3.4", "52.94"
"0.1", "17", "4.13", "54.9"
"0.2", "18", "4.37", "56.86"
"0.3", "15", "3.64", "58.82"
"0.4", "15", "3.64", "60.78"
"0.5", "12", "2.91", "62.75"
"0.6", "16", "3.88", "64.71"
"0.7", "12", "2.91", "66.67"
"0.8", "16", "3.88", "68.63"
"0.9", "11", "2.67", "70.59"
"1", "16", "3.88", "72.55"
"1.1", "11", "2.67", "74.51"
"1.2", "5", "1.21", "76.47"
"1.3", "8", "1.94", "78.43"
"1.4", "10", "2.43", "80.39"
"1.5", "2", "0.49", "82.35"
"1.6", "5", "1.21", "84.31"
"1.7", "3", "0.73", "86.27"
"1.8", "3", "0.73", "88.24"
"2", "2", "0.49", "90.2"
"2.1", "1", "0.24", "92.16"
"2.5", "2", "0.49", "94.12"
"2.7", "1", "0.24", "96.08"
"2.8", "1", "0.24", "98.04"
"3.1", "1", "0.24", "100"
