"40705"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "6.59", "2.33"
"-2.1", "1", "0.29", "4.65"
"-1.9", "2", "0.57", "6.98"
"-1.8", "2", "0.57", "9.3"
"-1.7", "1", "0.29", "11.63"
"-1.6", "2", "0.57", "13.95"
"-1.5", "6", "1.72", "16.28"
"-1.4", "5", "1.43", "18.6"
"-1.3", "10", "2.87", "20.93"
"-1.2", "6", "1.72", "23.26"
"-1.1", "7", "2.01", "25.58"
"-1", "15", "4.3", "27.91"
"-0.9", "16", "4.58", "30.23"
"-0.8", "15", "4.3", "32.56"
"-0.7", "24", "6.88", "34.88"
"-0.6", "16", "4.58", "37.21"
"-0.5", "11", "3.15", "39.53"
"-0.4", "14", "4.01", "41.86"
"-0.3", "8", "2.29", "44.19"
"-0.2", "9", "2.58", "46.51"
"-0.1", "8", "2.29", "48.84"
"0", "2", "0.57", "51.16"
"0.1", "5", "1.43", "53.49"
"0.2", "7", "2.01", "55.81"
"0.3", "7", "2.01", "58.14"
"0.4", "11", "3.15", "60.47"
"0.5", "8", "2.29", "62.79"
"0.6", "11", "3.15", "65.12"
"0.7", "10", "2.87", "67.44"
"0.8", "6", "1.72", "69.77"
"0.9", "11", "3.15", "72.09"
"1", "11", "3.15", "74.42"
"1.1", "9", "2.58", "76.74"
"1.2", "6", "1.72", "79.07"
"1.3", "9", "2.58", "81.4"
"1.4", "5", "1.43", "83.72"
"1.5", "4", "1.15", "86.05"
"1.6", "6", "1.72", "88.37"
"1.7", "4", "1.15", "90.7"
"1.8", "1", "0.29", "93.02"
"1.9", "5", "1.43", "95.35"
"2", "4", "1.15", "97.67"
"2.1", "6", "1.72", "100"
