"40717"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "2.08"
"-2.5", "2", "0.49", "4.17"
"-2.2", "1", "0.24", "6.25"
"-2.1", "4", "0.97", "8.33"
"-2", "5", "1.21", "10.42"
"-1.9", "6", "1.46", "12.5"
"-1.8", "7", "1.7", "14.58"
"-1.7", "2", "0.49", "16.67"
"-1.6", "7", "1.7", "18.75"
"-1.5", "4", "0.97", "20.83"
"-1.4", "7", "1.7", "22.92"
"-1.3", "7", "1.7", "25"
"-1.2", "5", "1.21", "27.08"
"-1.1", "9", "2.18", "29.17"
"-1", "4", "0.97", "31.25"
"-0.9", "8", "1.94", "33.33"
"-0.8", "9", "2.18", "35.42"
"-0.7", "13", "3.16", "37.5"
"-0.6", "15", "3.64", "39.58"
"-0.5", "16", "3.88", "41.67"
"-0.4", "11", "2.67", "43.75"
"-0.3", "17", "4.13", "45.83"
"-0.2", "12", "2.91", "47.92"
"-0.1", "13", "3.16", "50"
"0", "11", "2.67", "52.08"
"0.1", "19", "4.61", "54.17"
"0.2", "18", "4.37", "56.25"
"0.3", "13", "3.16", "58.33"
"0.4", "12", "2.91", "60.42"
"0.5", "11", "2.67", "62.5"
"0.6", "13", "3.16", "64.58"
"0.7", "13", "3.16", "66.67"
"0.8", "21", "5.1", "68.75"
"0.9", "25", "6.07", "70.83"
"1", "15", "3.64", "72.92"
"1.1", "8", "1.94", "75"
"1.2", "5", "1.21", "77.08"
"1.3", "6", "1.46", "79.17"
"1.4", "4", "0.97", "81.25"
"1.5", "6", "1.46", "83.33"
"1.6", "4", "0.97", "85.42"
"1.7", "3", "0.73", "87.5"
"1.8", "3", "0.73", "89.58"
"1.9", "2", "0.49", "91.67"
"2.5", "1", "0.24", "93.75"
"2.6", "2", "0.49", "95.83"
"3.1", "1", "0.24", "97.92"
"3.2", "1", "0.24", "100"
