"40726"
"date", "spi1", "spi3", "spi6", "spi9", "spi12", "spi24"
"01/01/1990", "-0.05", "-99", "-99", "-99", "-99", "-99"
"02/01/1990", "-0.33", "-99", "-99", "-99", "-99", "-99"
"03/01/1990", "0.23", "-0.31", "-99", "-99", "-99", "-99"
"04/01/1990", "0.94", "0.12", "-99", "-99", "-99", "-99"
"05/01/1990", "-0.96", "0.3", "-99", "-99", "-99", "-99"
"06/01/1990", "-0.38", "0.26", "-0.2", "-99", "-99", "-99"
"07/01/1990", "0.06", "-1.32", "-0.2", "-99", "-99", "-99"
"08/01/1990", "0.22", "-1.29", "0.17", "-99", "-99", "-99"
"09/01/1990", "0.15", "-0.9", "0.12", "-0.25", "-99", "-99"
"10/01/1990", "0.11", "-0.11", "-1.26", "-0.31", "-99", "-99"
"11/01/1990", "-0.74", "-0.74", "-0.99", "-0.43", "-99", "-99"
"12/01/1990", "-0.36", "-0.9", "-1.05", "-0.73", "-0.68", "-99"
"01/01/1991", "-0.62", "-1.2", "-1.4", "-1.72", "-0.85", "-99"
"02/01/1991", "-0.11", "-0.52", "-0.91", "-0.99", "-0.69", "-99"
"03/01/1991", "1.18", "0.02", "-0.49", "-0.55", "-0.44", "-99"
"04/01/1991", "0.83", "0.47", "-0.15", "-0.24", "-0.44", "-99"
"05/01/1991", "-1.58", "0.64", "-0.13", "-0.45", "-0.5", "-99"
"06/01/1991", "1.88", "0.49", "0.16", "-0.28", "-0.32", "-99"
"07/01/1991", "0", "-0.21", "0.32", "-0.23", "-0.32", "-99"
"08/01/1991", "0.22", "1.65", "0.86", "-0.01", "-0.32", "-99"
"09/01/1991", "0.15", "-0.93", "0.39", "0.11", "-0.32", "-99"
"10/01/1991", "0.22", "0.02", "-0.41", "0.23", "-0.31", "-99"
"11/01/1991", "0.67", "0.43", "0.68", "0.81", "0.06", "-99"
"12/01/1991", "1.6", "1.16", "1.1", "1.12", "0.58", "-0.1"
"01/01/1992", "-0.47", "1.01", "0.87", "0.65", "0.6", "-0.16"
"02/01/1992", "0.51", "0.68", "0.67", "0.77", "0.84", "0.1"
"03/01/1992", "-2.44", "-0.4", "0.31", "0.26", "0.35", "-0.11"
"04/01/1992", "0.11", "-0.21", "0.31", "0.24", "0.16", "-0.25"
"05/01/1992", "2.06", "0.44", "0.63", "0.64", "0.73", "0.12"
"06/01/1992", "1.46", "1.37", "0.35", "0.72", "0.68", "0.19"
"07/01/1992", "0", "2.19", "0.5", "0.74", "0.68", "0.19"
"08/01/1992", "0.67", "1.23", "0.58", "0.68", "0.69", "0.19"
"09/01/1992", "0.15", "-0.53", "1.45", "0.32", "0.69", "0.19"
"10/01/1992", "-1.89", "-1.78", "1.31", "0.24", "0.57", "0.11"
"11/01/1992", "1.02", "0.38", "0.53", "0.57", "0.67", "0.4"
"12/01/1992", "1.13", "0.83", "0.78", "1.48", "0.57", "0.67"
"01/01/1993", "-0.08", "1.06", "0.66", "1.46", "0.64", "0.71"
"02/01/1993", "0.29", "0.41", "0.41", "0.48", "0.52", "0.78"
"03/01/1993", "1.06", "0.35", "0.61", "0.58", "0.99", "0.77"
"04/01/1993", "1.73", "1.03", "1.18", "1", "1.37", "0.95"
"05/01/1993", "1.33", "2.08", "1.14", "1.11", "1.15", "1.14"
"06/01/1993", "-0.38", "1.71", "1.02", "1.09", "1.07", "1.05"
"07/01/1993", "0.98", "1.23", "1.17", "1.25", "1.09", "1.07"
"08/01/1993", "0.96", "0.28", "2.02", "1.13", "1.1", "1.08"
