"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"04/01/1997", "06/01/1997", "2", "-1.22", "-2.4", "-1.2", "-1.2"
"08/01/2000", "05/01/2002", "21", "-2.04", "-23.35", "-1.11", "-1.16"
"11/01/2002", "08/01/2003", "9", "-1.56", "-4.82", "-0.54", "-0.4"
"03/01/2004", "05/01/2004", "2", "-1.34", "-2.48", "-1.24", "-1.24"
"05/01/2006", "06/01/2007", "13", "-2.11", "-20.44", "-1.57", "-1.82"
"07/01/2008", "09/01/2009", "14", "-1.67", "-11.16", "-0.8", "-0.76"
"04/01/2014", "11/01/2015", "19", "-1.63", "-15.04", "-0.79", "-0.87"
"04/01/2017", "05/01/2018", "13", "-2.15", "-19.34", "-1.49", "-1.59"
"11/01/2021", "05/01/2022", "6", "-1.49", "-7.08", "-1.18", "-1.29"
"04/01/2023", "01/01/2024", "9", "-1.95", "-10.06", "-1.12", "-1"
