"40712"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.08"
"-2.1", "2", "0.49", "4.17"
"-2", "3", "0.73", "6.25"
"-1.9", "1", "0.24", "8.33"
"-1.8", "2", "0.49", "10.42"
"-1.7", "2", "0.49", "12.5"
"-1.6", "9", "2.18", "14.58"
"-1.5", "6", "1.46", "16.67"
"-1.4", "6", "1.46", "18.75"
"-1.3", "3", "0.73", "20.83"
"-1.2", "5", "1.21", "22.92"
"-1.1", "6", "1.46", "25"
"-1", "9", "2.18", "27.08"
"-0.9", "9", "2.18", "29.17"
"-0.8", "11", "2.67", "31.25"
"-0.7", "19", "4.61", "33.33"
"-0.6", "17", "4.13", "35.42"
"-0.5", "19", "4.61", "37.5"
"-0.4", "13", "3.16", "39.58"
"-0.3", "26", "6.31", "41.67"
"-0.2", "28", "6.8", "43.75"
"-0.1", "30", "7.28", "45.83"
"0", "19", "4.61", "47.92"
"0.1", "18", "4.37", "50"
"0.2", "10", "2.43", "52.08"
"0.3", "13", "3.16", "54.17"
"0.4", "4", "0.97", "56.25"
"0.5", "10", "2.43", "58.33"
"0.6", "5", "1.21", "60.42"
"0.7", "5", "1.21", "62.5"
"0.8", "4", "0.97", "64.58"
"0.9", "11", "2.67", "66.67"
"1", "4", "0.97", "68.75"
"1.1", "1", "0.24", "70.83"
"1.2", "3", "0.73", "72.92"
"1.4", "3", "0.73", "75"
"1.5", "10", "2.43", "77.08"
"1.6", "9", "2.18", "79.17"
"1.7", "5", "1.21", "81.25"
"1.8", "3", "0.73", "83.33"
"1.9", "5", "1.21", "85.42"
"2", "2", "0.49", "87.5"
"2.1", "9", "2.18", "89.58"
"2.2", "2", "0.49", "91.67"
"2.3", "2", "0.49", "93.75"
"2.6", "2", "0.49", "95.83"
"2.7", "1", "0.24", "97.92"
"2.8", "3", "0.73", "100"
