"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"12/01/1995", "03/01/1996", "3", "-2.28", "-4.75", "-1.58", "-1.85"
"02/01/1997", "03/01/1997", "1", "-1.03", "-1.03", "-1.03", "-1.03"
"06/01/2000", "02/01/2002", "20", "-2.21", "-19.57", "-0.98", "-1"
"10/01/2002", "04/01/2003", "6", "-1.21", "-4.75", "-0.79", "-0.87"
"01/01/2004", "05/01/2004", "4", "-2.15", "-5.81", "-1.45", "-1.25"
"05/01/2006", "03/01/2007", "10", "-2.44", "-16.13", "-1.61", "-1.54"
"04/01/2008", "01/01/2009", "9", "-2.03", "-11", "-1.22", "-1.1"
"03/01/2014", "02/01/2015", "11", "-2.01", "-10.42", "-0.95", "-0.77"
"03/01/2017", "03/01/2018", "12", "-2.14", "-16.64", "-1.39", "-1.47"
"09/01/2021", "04/01/2022", "7", "-1.81", "-8.28", "-1.18", "-1.35"
"01/01/2023", "01/01/2024", "12", "-2.59", "-12.77", "-1.06", "-0.93"
