"88107"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "5", "2.05", "2.27"
"-2.5", "1", "0.41", "4.55"
"-2.4", "1", "0.41", "6.82"
"-2.3", "2", "0.82", "9.09"
"-2.2", "2", "0.82", "11.36"
"-2.1", "1", "0.41", "13.64"
"-2", "2", "0.82", "15.91"
"-1.9", "1", "0.41", "18.18"
"-1.8", "2", "0.82", "20.45"
"-1.6", "3", "1.23", "22.73"
"-1.5", "3", "1.23", "25"
"-1.4", "7", "2.87", "27.27"
"-1.3", "2", "0.82", "29.55"
"-1.2", "6", "2.46", "31.82"
"-1.1", "3", "1.23", "34.09"
"-1", "8", "3.28", "36.36"
"-0.9", "4", "1.64", "38.64"
"-0.8", "7", "2.87", "40.91"
"-0.7", "9", "3.69", "43.18"
"-0.6", "8", "3.28", "45.45"
"-0.5", "9", "3.69", "47.73"
"-0.4", "9", "3.69", "50"
"-0.3", "5", "2.05", "52.27"
"-0.2", "9", "3.69", "54.55"
"-0.1", "7", "2.87", "56.82"
"0", "8", "3.28", "59.09"
"0.1", "9", "3.69", "61.36"
"0.2", "5", "2.05", "63.64"
"0.3", "12", "4.92", "65.91"
"0.4", "9", "3.69", "68.18"
"0.5", "15", "6.15", "70.45"
"0.6", "9", "3.69", "72.73"
"0.7", "7", "2.87", "75"
"0.8", "6", "2.46", "77.27"
"0.9", "4", "1.64", "79.55"
"1", "2", "0.82", "81.82"
"1.1", "5", "2.05", "84.09"
"1.2", "5", "2.05", "86.36"
"1.3", "4", "1.64", "88.64"
"1.4", "7", "2.87", "90.91"
"1.5", "6", "2.46", "93.18"
"1.6", "7", "2.87", "95.45"
"1.7", "6", "2.46", "97.73"
"1.8", "2", "0.82", "100"
