"40712"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"10/01/1990", "02/01/1992", "16", "-1.77", "-12.27", "-0.77", "-0.62"
"12/01/1998", "04/01/2002", "40", "-2.16", "-46.93", "-1.17", "-1.23"
"02/01/2003", "04/01/2003", "2", "-1.42", "-1.82", "-0.91", "-0.91"
"03/01/2005", "08/01/2006", "17", "-1.77", "-16.53", "-0.97", "-1.16"
"04/01/2008", "10/01/2008", "6", "-1.89", "-9.31", "-1.55", "-1.57"
"07/01/2009", "11/01/2009", "4", "-1.17", "-2.79", "-0.7", "-0.65"
"02/01/2011", "04/01/2011", "2", "-1.2", "-1.72", "-0.86", "-0.86"
"06/01/2012", "12/01/2012", "6", "-1.62", "-6.44", "-1.07", "-1.13"
"10/01/2013", "12/01/2013", "2", "-1.2", "-1.58", "-0.79", "-0.79"
"07/01/2015", "01/01/2016", "6", "-1.57", "-6.05", "-1.01", "-1.1"
"09/01/2017", "04/01/2018", "7", "-1.5", "-7.06", "-1.01", "-1.29"
