"40726"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.49", "1.85"
"-3.2", "1", "0.24", "3.7"
"-2.5", "1", "0.24", "5.56"
"-2.4", "1", "0.24", "7.41"
"-2.3", "2", "0.49", "9.26"
"-2.2", "2", "0.49", "11.11"
"-2.1", "1", "0.24", "12.96"
"-2", "3", "0.73", "14.81"
"-1.9", "4", "0.97", "16.67"
"-1.8", "1", "0.24", "18.52"
"-1.7", "1", "0.24", "20.37"
"-1.6", "2", "0.49", "22.22"
"-1.5", "2", "0.49", "24.07"
"-1.4", "8", "1.94", "25.93"
"-1.3", "3", "0.73", "27.78"
"-1.2", "5", "1.21", "29.63"
"-1.1", "6", "1.46", "31.48"
"-1", "10", "2.43", "33.33"
"-0.9", "18", "4.37", "35.19"
"-0.8", "13", "3.16", "37.04"
"-0.7", "16", "3.88", "38.89"
"-0.6", "11", "2.67", "40.74"
"-0.5", "22", "5.34", "42.59"
"-0.4", "12", "2.91", "44.44"
"-0.3", "22", "5.34", "46.3"
"-0.2", "11", "2.67", "48.15"
"-0.1", "12", "2.91", "50"
"0", "17", "4.13", "51.85"
"0.1", "14", "3.4", "53.7"
"0.2", "20", "4.85", "55.56"
"0.3", "15", "3.64", "57.41"
"0.4", "26", "6.31", "59.26"
"0.5", "22", "5.34", "61.11"
"0.6", "13", "3.16", "62.96"
"0.7", "18", "4.37", "64.81"
"0.8", "9", "2.18", "66.67"
"0.9", "6", "1.46", "68.52"
"1", "19", "4.61", "70.37"
"1.1", "9", "2.18", "72.22"
"1.2", "6", "1.46", "74.07"
"1.3", "1", "0.24", "75.93"
"1.4", "7", "1.7", "77.78"
"1.5", "2", "0.49", "79.63"
"1.6", "1", "0.24", "81.48"
"1.7", "4", "0.97", "83.33"
"1.8", "1", "0.24", "85.19"
"1.9", "1", "0.24", "87.04"
"2.1", "2", "0.49", "88.89"
"2.2", "2", "0.49", "90.74"
"2.3", "1", "0.24", "92.59"
"2.6", "1", "0.24", "94.44"
"4.7", "1", "0.24", "96.3"
"4.8", "1", "0.24", "98.15"
"5", "1", "0.24", "100"
