"40700"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "2.04"
"-2.6", "2", "0.49", "4.08"
"-2.1", "1", "0.24", "6.12"
"-2", "2", "0.49", "8.16"
"-1.9", "6", "1.46", "10.2"
"-1.8", "6", "1.46", "12.24"
"-1.7", "4", "0.97", "14.29"
"-1.6", "4", "0.97", "16.33"
"-1.5", "3", "0.73", "18.37"
"-1.4", "9", "2.18", "20.41"
"-1.3", "7", "1.7", "22.45"
"-1.2", "9", "2.18", "24.49"
"-1.1", "14", "3.4", "26.53"
"-1", "11", "2.67", "28.57"
"-0.9", "9", "2.18", "30.61"
"-0.8", "7", "1.7", "32.65"
"-0.7", "11", "2.67", "34.69"
"-0.6", "13", "3.16", "36.73"
"-0.5", "15", "3.64", "38.78"
"-0.4", "16", "3.88", "40.82"
"-0.3", "22", "5.34", "42.86"
"-0.2", "12", "2.91", "44.9"
"-0.1", "17", "4.13", "46.94"
"0", "18", "4.37", "48.98"
"0.1", "9", "2.18", "51.02"
"0.2", "14", "3.4", "53.06"
"0.3", "11", "2.67", "55.1"
"0.4", "15", "3.64", "57.14"
"0.5", "13", "3.16", "59.18"
"0.6", "18", "4.37", "61.22"
"0.7", "13", "3.16", "63.27"
"0.8", "7", "1.7", "65.31"
"0.9", "11", "2.67", "67.35"
"1", "12", "2.91", "69.39"
"1.1", "9", "2.18", "71.43"
"1.2", "7", "1.7", "73.47"
"1.3", "13", "3.16", "75.51"
"1.4", "6", "1.46", "77.55"
"1.5", "6", "1.46", "79.59"
"1.6", "5", "1.21", "81.63"
"1.7", "1", "0.24", "83.67"
"1.8", "2", "0.49", "85.71"
"1.9", "4", "0.97", "87.76"
"2", "3", "0.73", "89.8"
"2.2", "2", "0.49", "91.84"
"2.3", "1", "0.24", "93.88"
"2.5", "2", "0.49", "95.92"
"3", "1", "0.24", "97.96"
"3.1", "1", "0.24", "100"
