"40701"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.44"
"-2.3", "1", "0.24", "4.88"
"-2.2", "4", "0.97", "7.32"
"-2.1", "1", "0.24", "9.76"
"-2", "3", "0.73", "12.2"
"-1.9", "4", "0.97", "14.63"
"-1.8", "4", "0.97", "17.07"
"-1.7", "9", "2.18", "19.51"
"-1.6", "12", "2.91", "21.95"
"-1.5", "7", "1.7", "24.39"
"-1.4", "8", "1.94", "26.83"
"-1.3", "19", "4.61", "29.27"
"-1.2", "6", "1.46", "31.71"
"-1.1", "7", "1.7", "34.15"
"-1", "4", "0.97", "36.59"
"-0.9", "10", "2.43", "39.02"
"-0.8", "10", "2.43", "41.46"
"-0.7", "4", "0.97", "43.9"
"-0.6", "6", "1.46", "46.34"
"-0.5", "7", "1.7", "48.78"
"-0.4", "8", "1.94", "51.22"
"-0.3", "6", "1.46", "53.66"
"-0.2", "10", "2.43", "56.1"
"-0.1", "6", "1.46", "58.54"
"0", "7", "1.7", "60.98"
"0.1", "7", "1.7", "63.41"
"0.2", "19", "4.61", "65.85"
"0.3", "14", "3.4", "68.29"
"0.4", "23", "5.58", "70.73"
"0.5", "22", "5.34", "73.17"
"0.6", "19", "4.61", "75.61"
"0.7", "12", "2.91", "78.05"
"0.8", "14", "3.4", "80.49"
"0.9", "20", "4.85", "82.93"
"1", "15", "3.64", "85.37"
"1.1", "19", "4.61", "87.8"
"1.2", "15", "3.64", "90.24"
"1.3", "16", "3.88", "92.68"
"1.4", "9", "2.18", "95.12"
"1.5", "1", "0.24", "97.56"
"1.6", "1", "0.24", "100"
